STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
12	その筆者は、最後のファンタジーの本を書いていた間に、病気になって亡くなってしまいました。	その筆者（ひっしゃ）は、最後（さいご）のファンタジーの本（ほん）を書（か）いていた間（あいだ）に、病気（びょうき）になって亡（な）くなってしまいました。	Cố tác giả đó đã qua đời vì bệnh trong khi đang viết cuốn sách kì ảo cuối cùng.	7	Dekiru Nihongo Sơ Trung Cấp
13	ネコさんは人形で遊んでいる間に寝てしまいました。	ネコさんは人形（にんぎょう）で遊（あそ）んでいる間（あいだ）に寝（ね）てしまいました。	Anh Neko đã ngủ quên trong lúc đang chơi búp bê.	7	Dekiru Nihongo Sơ Trung Cấp
14	先生が新しいラケットをお使いになります。	先生（せんせい）が新（あたら）しいラケットをお使（つか）いになります。	Thầy giáo sử dụng cái vợt mới.	7	Dekiru Nihongo Sơ Trung Cấp
15	キツネさんはどちらのご出身ですか。	キツネさんはどちらのご出身（しゅっしん）ですか。	Anh Kitsune quê ở đâu thế ạ?	7	Dekiru Nihongo Sơ Trung Cấp
16	明日の三時ごろにこちらへ参ります。	明日（あした）の三時（さんじ）ごろにこちらへ参（まい）ります。	Tôi sẽ đến đây vào khoảng 3 giờ chiều mai.	7	Dekiru Nihongo Sơ Trung Cấp
17	先生は研究室にいらっしゃいます。	先生（せんせい）は研究室（けんきゅうしつ）にいらっしゃいます。	Thầy giáo đang có mặt ở phòng nghiên cứu.	7	Dekiru Nihongo Sơ Trung Cấp
18	社長は明日ベトナムへいらっしゃいます。	社長（しゃちょう）は明日（あした）ベトナムへいらっしゃいます。	Ngày mai Giám đốc sẽ đi Việt Nam.	7	Dekiru Nihongo Sơ Trung Cấp
19	先生が仰ることはいつも正しいです。	先生（せんせい）が仰（おっしゃ）ることはいつも正（ただ）しいです。	Những điều thầy nói lúc nào cũng đúng.	7	Dekiru Nihongo Sơ Trung Cấp
20	キツネさんは何とおっしゃいましたか。	キツネさんは何（なん）とおっしゃいましたか。	Anh Kitsune đã nói gì thế ạ?	7	Dekiru Nihongo Sơ Trung Cấp
21	この資料をご覧になりましたか。	この資料（しりょう）をご覧（らん）になりましたか。	Ngài đã xem tài liệu này chưa ạ?	7	Dekiru Nihongo Sơ Trung Cấp
22	休みの日は何をなさるんですか。	休（やす）みの日（ひ）は何（なに）をなさるんですか。	Ngày nghỉ ngài thường làm gì ạ?	7	Dekiru Nihongo Sơ Trung Cấp
23	テニスをなさいますか。	テニスをなさいますか。	Ngài có chơi tennis không ạ?	7	Dekiru Nihongo Sơ Trung Cấp
24	どうぞ、温かい間に召し上がってください。	どうぞ、温（あたた）かい間（あいだ）に召（め）し上（あ）がってください。	Mời ngài dùng bữa khi món ăn còn đang nóng ạ.	7	Dekiru Nihongo Sơ Trung Cấp
25	教授が私に本をくださいました。	教授（きょうじゅ）が私（わたし）に本（ほん）をくださいました。	Giáo viên đã tặng tôi một cuốn sách.	7	Dekiru Nihongo Sơ Trung Cấp
26	そのニュースをご存じですか。	そのニュースをご存（ぞん）じですか。	Ngài có biết tin tức đó không?	7	Dekiru Nihongo Sơ Trung Cấp
27	パーティーにご出席になりますか。	パーティーにご出席（しゅっせき）になりますか。	Ngài sẽ tham dự bữa tiệc chứ ạ?	7	Dekiru Nihongo Sơ Trung Cấp
28	欠席している間にテストがありました。	欠席（けっせき）している間（あいだ）にテストがありました。	Đã có một bài kiểm tra lúc tôi vắng mặt.	7	Dekiru Nihongo Sơ Trung Cấp
29	イヌさんは来週退院なさいます。	イヌさんは来週（らいしゅう）退院（たいいん）なさいます。	Anh Inu tuần sau sẽ xuất viện.	7	Dekiru Nihongo Sơ Trung Cấp
30	ただいま参りますので、少々お待ちください。	ただいま参（まい）りますので、少々（しょうしょう）お待（ま）ちください。	Tôi đến ngay đây, xin vui lòng đợi một chút.	7	Dekiru Nihongo Sơ Trung Cấp
31	私は今ロビーにおります。	私（わたし）は今（いま）ロビーにおります。	Tôi hiện đang ở sảnh ạ.	7	Dekiru Nihongo Sơ Trung Cấp
32	美味しいお菓子をいただきました。	美味（おい）しいお菓子（かし）をいただきました。	Tôi đã nhận được bánh kẹo rất ngon.	7	Dekiru Nihongo Sơ Trung Cấp
33	私はネコと申します。	私（わたし）はネコと申（もう）します。	Tôi tên là Neko.	7	Dekiru Nihongo Sơ Trung Cấp
34	私がご案内いたします。	私（わたし）がご案内（あんない）いたします。	Để tôi hướng dẫn cho ạ.	7	Dekiru Nihongo Sơ Trung Cấp
35	お手紙を拝見いたしました。	お手紙（てがみ）を拝見（はいけん）いたしました。	Tôi đã xem thư của ngài rồi ạ.	7	Dekiru Nihongo Sơ Trung Cấp
36	そのことは存じております。	そのことは存（ぞん）じております。	Việc đó thì tôi có biết ạ.	7	Dekiru Nihongo Sơ Trung Cấp
37	このくらいに細かく切ってください。	このくらいに細（こま）かく切（き）ってください。	Hãy thái nhỏ khoảng chừng này nhé.	7	Dekiru Nihongo Sơ Trung Cấp
38	りんごの皮を薄く剥きました。	りんごの皮（かわ）を薄（うす）く剥（む）きました。	Tôi đã gọt vỏ táo thật mỏng.	7	Dekiru Nihongo Sơ Trung Cấp
39	キャベツをきれいに洗ってください。	キャベツをきれいに洗（あら）ってください。	Hãy rửa bắp cải thật sạch nhé.	7	Dekiru Nihongo Sơ Trung Cấp
40	ジャガイモを半分に切りました。	ジャガイモを半分（はんぶん）に切（き）りました。	Tôi đã cắt khoai tây ra làm đôi.	7	Dekiru Nihongo Sơ Trung Cấp
41	大根を柔らかく煮ました。	大根（だいこん）を柔（やわ）らかく煮（に）ました。	Tôi đã ninh củ cải thật mềm.	7	Dekiru Nihongo Sơ Trung Cấp
42	タマネギを細かく切ります。	タマネギを細（こま）かく切（き）ります。	Tôi sẽ thái hành tây thật nhỏ.	7	Dekiru Nihongo Sơ Trung Cấp
43	ニンジンを細長く切ってください。	ニンジンを細長（ほそなが）く切（き）ってください。	Hãy thái cà rốt thành sợi dài và nhỏ nhé.	7	Dekiru Nihongo Sơ Trung Cấp
44	ネギを小さく切って料理に入れます。	ネギを小（ちい）さく切（き）って料理（りょうり）に入（い）れます。	Thái nhỏ hành lá rồi cho vào món ăn.	7	Dekiru Nihongo Sơ Trung Cấp
45	リンゴを半分にしました。	リンゴを半分（はんぶん）にしました。	Tôi đã cắt quả táo làm đôi.	7	Dekiru Nihongo Sơ Trung Cấp
46	コーヒーをカップに入れました。	コーヒーをカップに入（い）れました。	Tôi đã rót cà phê vào tách.	7	Dekiru Nihongo Sơ Trung Cấp
47	クリームを甘くしました。	クリームを甘（あま）くしました。	Tôi đã làm cho lớp kem ngọt hơn.	7	Dekiru Nihongo Sơ Trung Cấp
48	ゼリーを冷たいうちに食べましょう。	ゼリーを冷（つめ）たいうちに食（た）べましょう。	Hãy ăn thạch khi còn đang lạnh nhé.	7	Dekiru Nihongo Sơ Trung Cấp
49	ソースを少し辛くしました。	ソースを少（すこ）し辛（から）くしました。	Tôi đã làm nước sốt cay hơn một chút.	7	Dekiru Nihongo Sơ Trung Cấp
50	ネコさんはパスタを上手に作りました。	パスタを上手（じょうず）に作（つく）りました。	Anh Neko đã nấu mỳ Ý rất khéo.	7	Dekiru Nihongo Sơ Trung Cấp
51	塩を入れて、味を強くしました。	塩（しお）を入（い）れて、味（あじ）を強（つよ）くしました。	Tôi cho thêm muối để vị đậm đà hơn.	7	Dekiru Nihongo Sơ Trung Cấp
52	蜂蜜を少し入れて、紅茶を甘くします。	蜂蜜（はちみつ）を少（すこ）し入（い）れて、紅茶（こうちゃ）を甘（あま）くします。	Cho một chút mật ong vào để làm trà ngọt hơn.	7	Dekiru Nihongo Sơ Trung Cấp
53	パンにバターを厚く塗ります。	パンにバターを厚（あつ）く塗（ぬ）ります。	Phết một lớp bơ thật dày lên bánh mì.	7	Dekiru Nihongo Sơ Trung Cấp
54	イヌさんは毎日みそ汁を召し上がります。	イヌさんは毎日（まいにち）みそ汁（しる）を召（め）し上（あ）がります。	Anh Inu dùng súp Miso mỗi ngày.	7	Dekiru Nihongo Sơ Trung Cấp
55	火を早くつけてください。	火（ひ）を早（はや）くつけてください。	Hãy mau bật lửa lên nào.	7	Dekiru Nihongo Sơ Trung Cấp
56	できあがりの前に、強火にしましょう。	できあがりの前（まえ）に、強火（つよび）にしましょう。	Trước khi hoàn thành thì hãy bật lửa lớn lên nào.	7	Dekiru Nihongo Sơ Trung Cấp
57	肉を焼くときは、火を弱火にします。	肉（にく）を焼（や）くときは、火（ひ）を弱火（よわび）にします。	Khi nướng thịt, hãy chỉnh lửa nhỏ lại.	7	Dekiru Nihongo Sơ Trung Cấp
58	野菜を炒めた後で、ルーを入れます。	野菜（やさい）を炒（いた）めた後（あと）で、ルーを入（い）れます。	Sau khi xào rau xong thì cho viên súp vào.	7	Dekiru Nihongo Sơ Trung Cấp
59	砂糖を１００グラム入れてください。	砂糖（さとう）を１００グラム入れてください。	Hãy thêm 100 gam muối.	7	Dekiru Nihongo Sơ Trung Cấp
60	最後に塩を振れば、できあがりです。	最後（さいご）に塩（しお）を振（ふ）れば、できあがりです。	Cuối cùng rắc thêm muối là hoàn thành.	7	Dekiru Nihongo Sơ Trung Cấp
61	ネコさんはリンゴを薄く剥きました。	ネコさんはリンゴを薄（うす）く剥（む）きました。	Anh Neko đã gọt quả táo rất mỏng.	7	Dekiru Nihongo Sơ Trung Cấp
62	キツネさんは魚をおいしそうに焼きました。	キツネさんは魚（さかな）をおいしそうに焼（や）きました。	Anh Kitsune đã nướng cá rất ngon mắt.	7	Dekiru Nihongo Sơ Trung Cấp
63	お茶を入れるために、お湯を沸かします。	お茶（ちゃ）を入（い）れるために、お湯（ゆ）を沸（わ）かします。	Đun sôi nước để pha trà.	7	Dekiru Nihongo Sơ Trung Cấp
64	ビールを冷蔵庫で冷やしておきます。	ビールを冷蔵庫（れいぞうこ）で冷（ひ）やしておきます。	Để sẵn bia vào tủ lạnh cho mát.	7	Dekiru Nihongo Sơ Trung Cấp
65	野菜が柔らかくなるまで煮ます。	野菜（やさい）が柔（やわ）らかくなるまで煮（に）ます。	Ninh cho đến khi rau mềm ra.	7	Dekiru Nihongo Sơ Trung Cấp
66	卵を１０分ぐらいゆでます。	卵（たまご）を１０分（ぷん）ぐらいゆでます。	Luộc trứng trong khoảng 10 phút.	7	Dekiru Nihongo Sơ Trung Cấp
67	信号が赤い間に、誰かが道を渡ってしまった。	信号（しんごう）が赤（あか）い間（あいだ）に、誰（だれ）かが道（みち）を渡（わた）ってしまった。	Giữa lúc đèn tín hiệu đang đỏ thì một ai đó đã băng qua đường.	7	Dekiru Nihongo Sơ Trung Cấp
68	お湯が沸騰したら、麺を入れてください。	お湯（ゆ）が沸騰（ふっとう）したら、麺（めん）を入（い）れてください。	Khi nước sôi sùng sục thì hãy cho mì vào.	7	Dekiru Nihongo Sơ Trung Cấp
69	フライパンで野菜を速く炒めます。	フライパンで野菜（やさい）を速（はや）く炒（いた）めます。	Xào nhanh rau trên chảo.	7	Dekiru Nihongo Sơ Trung Cấp
70	肉を厚く切ると、食べにくいです。	肉（にく）を厚（あつ）く切（き）ると、食（た）べにくいです。	Nếu thái thịt dày quá sẽ khó ăn.	7	Dekiru Nihongo Sơ Trung Cấp
71	味を薄くするために、水を入れます。	味（あじ）を薄（うす）くするために、水（みず）を入（い）れます。	Cho thêm nước để vị nhạt bớt.	7	Dekiru Nihongo Sơ Trung Cấp
72	コーヒーを濃くしました。	コーヒーを濃（こ）くしました。	Tôi đã pha cà phê đậm hơn.	7	Dekiru Nihongo Sơ Trung Cấp
73	玉ねぎを細かく切ってください。	玉（たま）ねぎを細（こま）かく切（き）ってください。	Hãy thái hành tây thật nhỏ.	7	Dekiru Nihongo Sơ Trung Cấp
74	キツネさんは指を細く見せたいです。	キツネさんは指（ゆび）を細（ほそ）く見（み）せたいです。	Anh Kitsune muốn làm cho ngón tay trông thon hơn.	7	Dekiru Nihongo Sơ Trung Cấp
75	火を弱くしてください。	火（ひ）を弱（よわ）くしてください。	Hãy chỉnh cho lửa yếu đi một chút.	7	Dekiru Nihongo Sơ Trung Cấp
76	火を強くしすぎないでください。	火（ひ）を強（つよ）くしすぎないでください。	Đừng để lửa mạnh quá nhé.	7	Dekiru Nihongo Sơ Trung Cấp
77	まず、野菜をきれいに洗います。	まず、野菜（やさい）をきれいに洗（あら）います。	Đầu tiên, hãy rửa sạch rau củ.	7	Dekiru Nihongo Sơ Trung Cấp
78	次に、お荷物をお持ちします。	次（つぎ）に、お荷物（にもつ）をお持（も）ちします。	Tiếp theo, tôi xin phép mang hành lý giúp ngài.	7	Dekiru Nihongo Sơ Trung Cấp
79	最後に、お名前をお書きになりますか。	最後（さいご）に、お名前（なまえ）をお書（か）きになりますか。	Cuối cùng, ngài có muốn viết tên mình vào không ạ?	7	Dekiru Nihongo Sơ Trung Cấp
80	すみませんが、前の会議がまだ終わっていないので、４時の会議を４時半にしてもいいですか。	すみませんが、前（まえ）の会議（かいぎ）がまだ終（お）わっていないので、４時（よじ）の会議（かいぎ）を４時半（よじはん）にしてもいいですか。	Xin lỗi, vì cuộc họp trước vẫn chưa kết thúc nên cuộc họp lúc 4 giờ dời sang 4 giờ rưỡi có được không ạ?	7	Dekiru Nihongo Sơ Trung Cấp
81	キツネさんは田舎にある家をお持ちになっていますね。そちらにキャベツや玉ねぎなどがあるんですか。	キツネさんは田舎（いなか）にある家（いえ）をお持（も）ちになっていますね。そちらにキャベツや玉（たま）ねぎなどがあるんですか。	Anh Kitsune có một ngôi nhà ở quê nhỉ. Ở đó có bắp cải, hành tây các thứ không?	7	Dekiru Nihongo Sơ Trung Cấp
82	このチーズはイタリアで買いました。課長はお召し上がりになりますか。半分にしましょうか。	このチーズはイタリアで買（か）いました。課長（かちょう）はお召（め）し上（あ）がりになりますか。半分（はんぶん）にしましょうか。	Phô mai này tôi mua ở Ý. Trưởng phòng có dùng thử không ạ? Chia làm đôi nhé?	7	Dekiru Nihongo Sơ Trung Cấp
83	へえ？水泳大会のために、イヌ先生は毎日お茶の水駅から水道橋駅まで泳がれているの？本当？	へえ？水泳（すいえい）大会（たいかい）のために、イヌ先生（せんせい）は毎日（まいにち）お茶（ちゃ）の水（みず）駅（えき）から水道橋（すいどうばし）駅（えき）まで泳（およ）がれているの？本当（ほんとう）？	Hả? Vì giải bơi lội mà thầy Inu ngày nào cũng bơi từ ga Ochanomizu đến ga Suidobashi à? Thật không?	7	Dekiru Nihongo Sơ Trung Cấp
84	冷蔵庫からルーを取っていただけませんか。何？もうありませんか。では、買って参ります。少々お待ちくださいね。	冷蔵庫（れいぞうこ）からルーを取（と）っていただけませんか。何（なに）？もうありませんか。では、買（か）って参（まい）ります。少々（しょうしょう）お待（ま）ちくださいね。	Anh có thể lấy giúp tôi viên súp trong tủ lạnh được không? Gì cơ, hết rồi à? Vậy tôi đi mua, xin đợi một lát nhé.	7	Dekiru Nihongo Sơ Trung Cấp
85	「冒険コアラ」という漫画を読みましたか。とても人気があって、早く買わなかったら買えなくなるそうですよ。	「冒険（ぼうけん）コアラ」という漫画（まんが）を読（よ）みましたか。とても人気（にんき）があって、早（はや）く買（か）わなかったら買（か）えなくなるそうですよ。	Bạn đã đọc truyện tranh “Koala phiêu lưu” chưa? Rất nổi tiếng, nghe nói không mua sớm là sẽ hết đấy.	7	Dekiru Nihongo Sơ Trung Cấp
86	人参を薄く切ったことがありますか。切り方を見せましょうか。	人参（にんじん）を薄（うす）く切（き）ったことがありますか。切（き）り方（かた）を見（み）せましょうか。	Bạn đã từng thái cà rốt mỏng chưa? Tôi chỉ cách cắt nhé?	7	Dekiru Nihongo Sơ Trung Cấp
87	不具合に対応しておるのはチームリーダーのキツネです。	不具合（ふぐあい）に対応（たいおう）しておるのはチームリーダーのキツネです。	Người đang phụ trách xử lý sự cố là trưởng nhóm Kitsune.	7	Dekiru Nihongo Sơ Trung Cấp
88	会長がお送りになったお知らせメール、どう思う？お体も細くなっているし、本当のことだと思う。	会長（かいちょう）がお送（おく）りになったお知（し）らせメール、どう思（おも）う？お体（からだ）も細（ほそ）くなっているし、本当（ほんとう）のことだと思（おも）う。	Bạn nghĩ sao về email thông báo do Chủ tịch gửi? Trông người cũng gầy đi, tôi nghĩ đó là sự thật.	7	Dekiru Nihongo Sơ Trung Cấp
89	このお店では自分でカップに自由に描けて、描いてあるカップも買うことができます。このお店にしましょう。	このお店（みせ）では自分（じぶん）でカップに自由（じゆう）に描（えが）けて、描（えが）いてあるカップも買（か）うことができます。このお店にしましょう。	Ở cửa hàng này có thể tự do vẽ lên cốc, cũng có thể mua cốc đã vẽ sẵn. Chọn cửa hàng này nhé.	7	Dekiru Nihongo Sơ Trung Cấp
90	はい、ホラー小説をお書きになっているんですね。ホラー小説が借りられるところですか。小説を借りるなら、キツネの家の図書館がいいと思います。	はい、ホラー小説（しょうせつ）をお書（か）きになっているんですね。ホラー小説が借（か）りられるところですか。小説（しょうせつ）を借（か）りるなら、キツネの家（いえ）の図書館（としょかん）がいいと思（おも）います。	Vâng, hóa ra anh đang viết tiểu thuyết kinh dị. Là nơi có thể mượn tiểu thuyết kinh dị à? Nếu mượn tiểu thuyết thì tôi nghĩ thư viện nhà Kitsune là tốt.	7	Dekiru Nihongo Sơ Trung Cấp
91	皆さん、私の料理教室にご参加、ありがとうございます。本日、材料の皮のきれいなむき方をお教えいたします。	皆（みな）さん、私（わたし）の料理（りょうり）教室（きょうしつ）にご参加（さんか）、ありがとうございます。本日（ほんじつ）、材料（ざいりょう）の皮（かわ）のきれいなむき方（かた）をお教（おし）えいたします。	Mọi người, cảm ơn đã tham gia lớp học nấu ăn của tôi. Hôm nay tôi sẽ hướng dẫn cách gọt vỏ nguyên liệu cho đẹp.	7	Dekiru Nihongo Sơ Trung Cấp
92	すみませんが、急行切符を買うつもりでしたが、間違って各駅停車切符を買ってしまいました。急行切符にしてもらえませんか。	すみませんが、急行（きゅうこう）切符（きっぷ）を買（か）うつもりでしたが、間違（まちが）って各駅停車（かくえきていしゃ）切符を買ってしまいました。急行切符にしてもらえませんか。	Xin lỗi, tôi định mua vé tàu nhanh nhưng lại mua nhầm vé tàu dừng ở mọi ga. Có thể đổi sang vé tàu nhanh không ạ?	7	Dekiru Nihongo Sơ Trung Cấp
93	肉野菜炒めを作るときいつ塩を入れたらいいかという質問をもらいました。私の意見だけですが、キャベツを炒める間に入れると、味がちょうどよくなると思います。	肉野菜（にくやさい）炒（いた）めを作（つく）るとき、いつ塩（しお）を入（い）れたらいいかという質問（しつもん）をもらいました。私（わたし）の意見（いけん）だけですが、キャベツを炒（いた）める間（あいだ）に入（い）れると、味（あじ）がちょうどよくなると思（おも）います。	Tôi nhận được câu hỏi nên cho muối vào lúc nào khi làm món xào thịt rau. Chỉ là ý kiến cá nhân thôi, nhưng nếu cho muối trong lúc xào bắp cải thì vị sẽ vừa.	7	Dekiru Nihongo Sơ Trung Cấp
94	部長、お客様が入院されたことはご存じですか。事故だったそうです。	部長（ぶちょう）、お客様（きゃくさま）が入院（にゅういん）されたことはご存（ぞん）じですか。事故（じこ）だったそうです。	Trưởng phòng, ngài có biết việc khách hàng đã nhập viện không ạ? Nghe nói là do tai nạn.	7	Dekiru Nihongo Sơ Trung Cấp
95	クマさんは用事があったそうですが、少しご出席くださって、本当にありがとうございます。	クマさんは用事（ようじ）があったそうですが、少（すこ）しご出席（しゅっせき）くださって、本当（ほんとう）にありがとうございます。	Anh Kuma nghe nói có việc bận, nhưng vẫn tham dự một chút, thật sự cảm ơn.	7	Dekiru Nihongo Sơ Trung Cấp
96	１０才ごろ、この川で友達と楽しく遊びました。	１０才（さい）ごろ、この川（かわ）で友達（ともだち）と楽（たの）しく遊（あそ）びました。	Khoảng 10 tuổi, tôi đã vui vẻ chơi đùa với bạn bè ở con sông này.	7	Dekiru Nihongo Sơ Trung Cấp
97	推理漫画の人気があるうちに、自分で描いたものをインターネットで売ってみようと思います。	推理（すいり）漫画（まんが）の人気（にんき）があるうちに、自分（じぶん）で描（えが）いたものをインターネットで売（う）ってみようと思（おも）います。	Khi truyện tranh trinh thám còn đang được ưa chuộng, tôi nghĩ sẽ thử bán tác phẩm tự vẽ của mình trên mạng.	7	Dekiru Nihongo Sơ Trung Cấp
98	頂いた書類を拝見しました。残念ですが、日本に住んでいらっしゃるのは１年だけなので、クレジットカードを申し込むことができません。	頂（いただ）いた書類（しょるい）を拝見（はいけん）しました。残念（ざんねん）ですが、日本（にほん）に住（す）んでいらっしゃるのは１年（ねん）だけなので、クレジットカードを申（もう）し込（こ）むことができません。	Tôi đã xem hồ sơ ngài gửi. Rất tiếc, vì ngài chỉ sống ở Nhật một năm nên không thể đăng ký thẻ tín dụng.	7	Dekiru Nihongo Sơ Trung Cấp
99	冒険の間に危険がたくさんあるので、冒険者は強くなければなりません。	冒険（ぼうけん）の間（あいだ）に危険（きけん）がたくさんあるので、冒険者（ぼうけんしゃ）は強（つよ）くなければなりません。	Trong lúc phiêu lưu có rất nhiều nguy hiểm, nên nhà phiêu lưu phải mạnh mẽ.	7	Dekiru Nihongo Sơ Trung Cấp
100	トラさんは、いつもまじめに対応なさいますね。	トラさんは、いつもまじめに対応（たいおう）なさいますね。	Anh Tora lúc nào cũng xử lý công việc rất nghiêm túc nhỉ.	7	Dekiru Nihongo Sơ Trung Cấp
