STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
16	日常会話なら、英語も日本語 cũng 話せる。	日常会話（にちじょうかいわ）なら、英語（えいご）も日本語（にほんご）も話（はな）せる。	Nếu là hội thoại hàng ngày thì tôi có thể nói cả tiếng Anh và tiếng Nhật.	1	Dekiru Nihongo Sơ Trung Cấp
17	募集しているお店に問い合わせの電話をかけましたが、店長がいらっしゃいませんでした。	募集（ぼしゅう）しているお見（み）せに問（と）い合（あ）わせの電話（でんわ）をかけましたが、店長（てんちょう）がいらっしゃいませんでした。	Tôi đã gọi điện hỏi thăm cửa hàng đang tuyển dụng nhưng cửa hàng trưởng không có ở đó.	1	Dekiru Nihongo Sơ Trung Cấp
18	そのことを希望するのは無理だよ。	そのことを希望（きぼう）するのは無理（むり）だよ。	Hy vọng chuyện đó là không thể đâu.	1	Dekiru Nihongo Sơ Trung Cấp
19	ネコさんは一人で働くのが大変で、もう一人募集したほうがいいと思いますか。	ネコさんは一人（ひとり）で働（はたら）くのが大変（たいへん）で、もう一人（ひとり）募集（ぼしゅう）したほうがいいと思（おも）いますか。	Làm việc một mình vất vả nên anh Neko có nghĩ là nên tuyển thêm một người nữa không?	1	Dekiru Nihongo Sơ Trung Cấp
20	あ、アルバイト希望の方ですね。	あ、アルバイト希望（きぼう）の方（かた）ですね。	À, là người muốn ứng tuyển làm thêm đúng không.	1	Dekiru Nihongo Sơ Trung Cấp
21	私はキツネと申す者です。	私（わたし）はキツネと申（もう）す者（もの）です。	Tôi là người tên là Kitsune.	1	Dekiru Nihongo Sơ Trung Cấp
22	チラシを読んだので、場所が分かりました。	チラシを読（よ）んだので、場所（ばしょ）が分（わ）かりました。	Vì đã đọc tờ rơi nên tôi đã biết địa điểm.	1	Dekiru Nihongo Sơ Trung Cấp
23	ホームページなら、スマホで見られますよ。	ホームページなら、スマホで見（み）られますよ。	Nếu là trang web thì có thể xem bằng điện thoại đấy.	1	Dekiru Nihongo Sơ Trung Cấp
24	学生証がないと、入れないことがあります。	学生証（がくせいしょう）がないと、入（はい）れないことがあります。	Nếu không có thẻ sinh viên thì có khi không vào được đâu.	1	Dekiru Nihongo Sơ Trung Cấp
25	資格があるので、この仕事ができます。	資格（しかく）があるので、この仕事（しごと）ができます。	Vì có bằng cấp/chứng chỉ nên tôi có thể làm công việc này.	1	Dekiru Nihongo Sơ Trung Cấp
26	イヌさんはボランティア活動に参加しています。	イヌさんはボランティア活動（かつどう）に参加（さんか）しています。	Anh Inu đang tham gia hoạt động tình nguyện.	1	Dekiru Nihongo Sơ Trung Cấp
27	先生に許可をもらったので、帰ってもいいです。	先生（せんせい）に許可（きょか）をもらったので、帰（かえ）ってもいいです。	Vì đã nhận được sự cho phép của giáo viên nên có thể về được rồi.	1	Dekiru Nihongo Sơ Trung Cấp
28	バイトをするなら、この許可書が必要です。	バイトをするなら、この許可書（きょかしょ）が必要（ひつよう）です。	Nếu làm thêm thì cần có giấy phép này.	1	Dekiru Nihongo Sơ Trung Cấp
29	漢字が読めるようになったので、面接も大丈夫です。	漢字（かんじ）が読（よ）めるようになったので、面接（めんせつ）も大丈夫（だいじょうぶ）です。	Vì đã có thể đọc được chữ Hán nên buổi phỏng vấn cũng sẽ ổn thôi.	1	Dekiru Nihongo Sơ Trung Cấp
30	履歴書なら、コンビニで買えますよ。	履歴書（りれきしょ）なら、コンビニで買（か）えますよ。	Nếu là sơ yếu lý lịch thì có thể mua ở cửa hàng tiện lợi đấy.	1	Dekiru Nihongo Sơ Trung Cấp
31	日本に来て半年なので, まだ日本語が下手です。	日本（にほん）に来（き）て半年（はんとし）なので、まだ日本語（にほんご）が下手（へた）です。	Vì mới đến Nhật được nửa năm nên tiếng Nhật của tôi vẫn còn kém.	1	Dekiru Nihongo Sơ Trung Cấp
32	ネコさんは刺身が食べられるようになりました。	ネコさんは刺身（さしみ）が食（た）べられるようになりました。	Anh Neko đã có thể ăn được sashimi rồi.	1	Dekiru Nihongo Sơ Trung Cấp
33	日常会話なら、問題ありません。	日常会話（にちじょうかいわ）なら、問題（もんだい）ありません。	Nếu là hội thoại hàng ngày thì không có vấn đề gì.	1	Dekiru Nihongo Sơ Trung Cấp
34	問い合わせは、ホームページからできます。	問（と）い合（あ）わせは、ホームページからできます。	Việc liên hệ/hỏi đáp có thể thực hiện từ trang web.	1	Dekiru Nihongo Sơ Trung Cấp
35	キツネさんは日本で働くことを希望しています。	キツネさんは日本（にほん）で働（はたら）くことを希望（きぼう）しています。	Anh Kitsune hy vọng được làm việc tại Nhật Bản.	1	Dekiru Nihongo Sơ Trung Cấp
36	この店はスタッフを募集しているので、電話しました。	この店（みせ）はスタッフを募集（ぼしゅう）しているので、電話（でんわ）しました。	Vì cửa hàng này đang tuyển nhân viên nên tôi đã gọi điện.	1	Dekiru Nihongo Sơ Trung Cấp
37	名前を思い出せないので、教えてください。	名前（なまえ）を思（おも）い出（だ）せないので、教（おし）えてください。	Tôi không thể nhớ ra tên nên hãy chỉ cho tôi với.	1	Dekiru Nihongo Sơ Trung Cấp
38	パソコンで名前を入力するのが難しいです。	パソコンで名前（なまえ）を入力（にゅうりょく）するのが難（むずか）しいです。	Việc nhập tên bằng máy tính rất khó.	1	Dekiru Nihongo Sơ Trung Cấp
39	それでは、面接を始めましょう。	それでは、面接（めんせつ）を始（はじ）めましょう。	Vậy thì chúng ta hãy bắt đầu buổi phỏng vấn nào.	1	Dekiru Nihongo Sơ Trung Cấp
40	では、また明日会いましょう。	では、また明日（あした）会（あ）いましょう。	Vậy hẹn gặp lại vào ngày mai nhé.	1	Dekiru Nihongo Sơ Trung Cấp
41	イヌさんは今いらっしゃいますか。	イヌさんは今（いま）いらっしゃいますか。	Bây giờ có anh Inu ở đó không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
42	私はネコと申します。	私（わたし）はネコと申（もう）します。	Tôi tên là Neko.	1	Dekiru Nihongo Sơ Trung Cấp
43	すぐに参りますので、お待ちください。	すぐに参（まい）りますので、お待（ま）ちください。	Tôi sẽ đến ngay nên vui lòng chờ một chút.	1	Dekiru Nihongo Sơ Trung Cấp
44	担当者が来ますので、少々お待ちください。	担当者（たんとうしゃ）が来（き）ますので、少々（しょうしょう）お待（ま）ちください。	Người phụ trách sẽ đến ngay nên vui lòng chờ trong giây lát.	1	Dekiru Nihongo Sơ Trung Cấp
45	仕事が終わったので、お先に失礼します。	仕事（しごと）が終（お）わったので、お先（さき）に失礼（しつれい）します。	Vì công việc đã xong nên tôi xin phép về trước.	1	Dekiru Nihongo Sơ Trung Cấp
46	楽器を弾くのが好きです。	楽器（がっき）を弾（ひ）くのが好きです。	Tôi thích chơi nhạc cụ.	1	Dekiru Nihongo Sơ Trung Cấp
47	この建物はとてもきれいで有名です。	この建物（たてもの）はとてもきれいで有名（ゆうめい）です。	Tòa nhà này rất đẹp và nổi tiếng.	1	Dekiru Nihongo Sơ Trung Cấp
48	日本の歴史を勉強するのは面白いです。	日本（にほん）の歴史（れきし）を勉強（べんきょう）するのは面白（おもしろ）いです。	Học lịch sử Nhật Bản rất thú vị.	1	Dekiru Nihongo Sơ Trung Cấp
49	自分の意見を言うのは大切です。	自分（じぶん）の意見（いけん）を言（い）うのは大切（たいせつ）です。	Việc nói ra ý kiến của bản thân là rất quan trọng.	1	Dekiru Nihongo Sơ Trung Cấp
50	お年寄りと話すのが好きです。	お年寄り（としより）と話（はな）すのが好（す）きです。	Tôi thích trò chuyện với người cao tuổi.	1	Dekiru Nihongo Sơ Trung Cấp
51	難しい言葉が聞き取れるようになりました。	難しい（むずかしい）言葉（ことば）が聞き取（ききと）れるようになりました。	Tôi đã có thể nghe hiểu được những từ ngữ khó.	1	Dekiru Nihongo Sơ Trung Cấp
52	自分で料理を作るのは楽しいです。	自分（じぶん）で料理（りょうり）を作（つく）るのは楽（たの）しいです。	Tự mình nấu ăn rất là vui.	1	Dekiru Nihongo Sơ Trung Cấp
53	イヌさんの話はいつもつまらないです。	イヌさんの話（はなし）はいつもつまらないです。	Câu chuyện của anh Inu lúc nào cũng chán.	1	Dekiru Nihongo Sơ Trung Cấp
54	野外ライブなら、チケットがなくても聞けます。	野外（やがい）ライブなら、チケットがなくても聞（き）けます。	Nếu là liveshow ngoài trời thì không có vé vẫn có thể nghe được.	1	Dekiru Nihongo Sơ Trung Cấp
55	りんごを５個食べることができますか。	りんごを５個（こ）食べ（たべ）ることができますか。	Bạn có thể ăn được 5 quả táo không?	1	Dekiru Nihongo Sơ Trung Cấp
56	ニュースが聞き取れるようになりました。	ニュースが聞き取（ききと）れるようになりました。	Tôi đã có thể nghe hiểu được bản tin thời sự.	1	Dekiru Nihongo Sơ Trung Cấp
57	漢字を１００個覚えるのは大変です。	漢字（かんじ）を１００個（こ）覚え（おぼえ）るのは大変（たいへん）です。	Việc nhớ được 100 chữ Hán thật là vất vả.	1	Dekiru Nihongo Sơ Trung Cấp
58	ネコさんを応援するのが私の仕事です。	ネコさんを応援（おうえん）するのが私（わたし）の仕事（しごと）です。	Cổ vũ cho anh Neko là công việc của tôi.	1	Dekiru Nihongo Sơ Trung Cấp
59	週末、サイクリングするのが好きです。	週末（しゅうまつ）、サイクリングするのが好き（すき）です。	Tôi thích đi đạp xe vào cuối tuần.	1	Dekiru Nihongo Sơ Trung Cấp
60	合格を祈るために、神社へ行きました。	合格（ごうかく）を祈る（いのる）ために、神社（じんじゃ）へ行（い）きました。	Tôi đã đi đền thần để cầu nguyện thi đỗ.	1	Dekiru Nihongo Sơ Trung Cấp
61	試験に合格したので、とても嬉しいです。	試験（しけん）に合格（ごうかく）したので、とても嬉しい（うれしい）です。	Vì đã thi đỗ nên tôi rất vui.	1	Dekiru Nihongo Sơ Trung Cấp
62	キツネさんは走るのが遅いです。	キツネさんは走る（はしる）のが遅い（おそい）です。	Anh Kitsune chạy chậm.	1	Dekiru Nihongo Sơ Trung Cấp
63	食べるのが速いので、もう終わりました。	食べる（たべる）のが速い（はやい）ので、もう終わり（おわり）ました。	Vì ăn nhanh nên tôi đã xong rồi.	1	Dekiru Nihongo Sơ Trung Cấp
64	この映画はつまらないので、見たくないです。	この映画（えいが）はつまらないので、見（み）たくないです。	Bộ phim này chán nên tôi không muốn xem.	1	Dekiru Nihongo Sơ Trung Cấp
65	料理が得意なので、毎日作っています.	料理（りょうり）が得意（とくい）なので、毎日（まいにち）作（つく）っています。	Vì giỏi nấu ăn nên ngày nào tôi cũng nấu.	1	Dekiru Nihongo Sơ Trung Cấp
66	泳ぐのが苦手なので、プールに行きません。	泳ぐ（およぐ）のが苦手（にがて）なので、プールに行（い）きません。	Vì bơi kém nên tôi không đi bể bơi.	1	Dekiru Nihongo Sơ Trung Cấp
67	１日で全部覚えるのは無理です。	１日（いちにち）で全部（ぜんぶ）覚え（おぼえ）るのは無理（むり）です。	Nhớ hết toàn bộ trong một ngày là điều không thể.	1	Dekiru Nihongo Sơ Trung Cấp
68	家族と一緒にいるのが一番幸せです。	家族（かぞく）と一緒（いっしょ）にいるのが一番（いちばん）幸せ（しあわせ）です。	Ở cùng với gia đình là hạnh phúc nhất.	1	Dekiru Nihongo Sơ Trung Cấp
69	朝早く起きられるようになりました。	朝（あさ）早く（はやく）起き（おき）られるようになりました。	Tôi đã có thể dậy sớm vào buổi sáng.	1	Dekiru Nihongo Sơ Trung Cấp
70	スタッフなら、この服を着てください。	スタッフなら、この服（ふく）を着（き）てください。	Nếu là nhân viên thì hãy mặc bộ đồ này.	1	Dekiru Nihongo Sơ Trung Cấp
71	この仕事は要資格なので難しいです。	この仕事（しごと）は要資格（ようしかく）なので難しい（むずかしい）です。	Công việc này yêu cầu bằng cấp nên khó.	1	Dekiru Nihongo Sơ Trung Cấp
72	時給がいいので、ここで働きたいです。	時給（じきゅう）がいいので、ここで働き（はたらき）たいです。	Vì lương theo giờ cao nên tôi muốn làm việc ở đây.	1	Dekiru Nihongo Sơ Trung Cấp
73	至急、ネコさんに電話しなければなりません。	至急（しきゅう）、ネコさんに電話（でんわ）しなければなりません。	Phải gọi điện cho anh Neko ngay lập tức.	1	Dekiru Nihongo Sơ Trung Cấp
74	勤務時間は選べますか。	勤務（きんむ）時間（じかん）は選べ（えらべ）ますか。	Có thể chọn thời gian làm việc không?	1	Dekiru Nihongo Sơ Trung Cấp
75	勤務地なら、駅の近くがいいです。	勤務地（きんむち）なら、駅（えき）の近く（ちかく）がいいです。	Nếu là nơi làm việc thì gần nhà ga là tốt nhất.	1	Dekiru Nihongo Sơ Trung Cấp
76	勤務時間が長いので、疲れました。	勤務（きんむ）時間（じかん）が長い（ながい）ので、疲れ（つかれ）ました。	Vì thời gian làm việc dài nên tôi đã mệt rồi.	1	Dekiru Nihongo Sơ Trung Cấp
77	休みは応相談なので安心してください。	休み（やすみ）は応相談（おうそうだん）なので安心（あんしん）してください。	Lịch nghỉ có thể thỏa thuận nên hãy yên tâm nhé.	1	Dekiru Nihongo Sơ Trung Cấp
78	賄いが食べられるので、この店は人気です。	賄い（まかない）が食べ（たべ）られるので、この店（みせ）は人気（にんき）です。	Vì được ăn cơm nhân viên nên cửa hàng này rất được ưa chuộng.	1	Dekiru Nihongo Sơ Trung Cấp
79	塾へ行くのは大変ですが、勉強になります。	塾（じゅく）へ行く（いく）のは大変（たいへん）ですが、勉強（べんきょう）になります。	Việc đi học thêm tuy vất vả nhưng học hỏi được nhiều điều.	1	Dekiru Nihongo Sơ Trung Cấp
80	ランチなら、あの店が安くて美味しいです。	ランチなら、あの店（みせ）が安く（やすく）て美味しい（おいしい）です。	Nếu là bữa trưa thì cửa hàng kia vừa rẻ vừa ngon.	1	Dekiru Nihongo Sơ Trung Cấp
81	インド料理なら、辛いカレーが食べたいです。	インド料理（りょうり）なら、辛い（からい）カレーが食べ（たべ）たいです。	Nếu là món Ấn Độ thì tôi muốn ăn cà ri cay.	1	Dekiru Nihongo Sơ Trung Cấp
82	豆を食べるのは体にいいです。	豆（まめ）を食べる（たべる）のは体（からだ）にいいです。	Ăn các loại đậu rất tốt cho cơ thể.	1	Dekiru Nihongo Sơ Trung Cấp
83	山の上から絶景が見られますよ。	山（やま）の上（うえ）から絶景（ぜっけい）が見（み）られますよ。	Từ trên đỉnh núi có thể ngắm được cảnh đẹp tuyệt mỹ đấy.	1	Dekiru Nihongo Sơ Trung Cấp
84	ピアノの演奏を聞くのが好きです。	ピアノの演奏（えんそう）を聞く（きく）のが好き（すき）です。	Tôi thích nghe biểu diễn piano.	1	Dekiru Nihongo Sơ Trung Cấp
85	日本の駅名は漢字が多いので、難しいです。	日本（にほん）の駅名（えきめい）は漢字（かんじ）が多い（おおい）ので、難しい（むずかしい）です。	Tên các nhà ga ở Nhật có nhiều chữ Hán nên rất khó.	1	Dekiru Nihongo Sơ Trung Cấp
86	字幕なしで映画が見られるようになりたいです。	字幕（じまく）なしで映画（えいが）が見（み）られるようになりたいです.	Tôi muốn có thể xem phim mà không cần phụ đề.	1	Dekiru Nihongo Sơ Trung Cấp
87	それでは、テニスはどうですか？イヌ先生はテニスが上手ですよ。	それでは、テニスはどうですか。イヌ先生（せんせい）はテニスが上手（じょうず）ですよ。	Vậy thì tennis thì sao? Thầy Inu chơi tennis giỏi lắm đấy.	1	Dekiru Nihongo Sơ Trung Cấp
88	キツネさんにいつもおいしいまかないをもらえるので、ここで働くのはとてもいいですよ。	キツネさんにいつもおいしいまかないをもらえるので、ここで働く（はたらく）のはとてもいいですよ。	Vì luôn được anh Kitsune cho ăn cơm nhân viên rất ngon nên làm việc ở đây rất tốt.	1	Dekiru Nihongo Sơ Trung Cấp
89	今日、テストがあるけど、目の前で木が倒れるのを見たので、とても心配している。点はどうでもよくて、合格だけ祈っている。	今日（きょう）、テストがあるけど、目（め）の前（まえ）で木（き）が倒れる（たおれる）のを見た（みた）ので、とても心配（しんぱい）している。点（てん）はどうでもよくて、合格（ごうかく）だけ祈（いの）っている。	Hôm nay có bài kiểm tra, nhưng vì đã thấy cây đổ ngay trước mắt nên tôi đang rất lo lắng. Điểm số sao cũng được, tôi chỉ cầu mong thi đỗ thôi.	1	Dekiru Nihongo Sơ Trung Cấp
90	日本の楽器が欲しいです。ハノイやホーチミンなら買えるそうですが、ベトナム中部のハティンでは全然買えませんね。	日本（にほん）の楽器（がっき）が欲しい（ほしい）です。ハノイやホーチミンなら買える（かえる）そうですが、ベトナム中部（ちゅうぶ）のハティンでは全然（ぜんぜん）買え（かえ）ませんね。	Tôi muốn có nhạc cụ Nhật Bản. Nghe nói ở Hà Nội hay TP.HCM thì có thể mua được, nhưng ở Hà Tĩnh miền Trung Việt Nam thì hoàn toàn không mua được nhỉ.	1	Dekiru Nihongo Sơ Trung Cấp
91	近くのインドレストランは今日からですよ。ランチでカレーなどが食べられるようになりましたね。	近く（ちかく）のインドレストランは今日（きょう）からですよ。ランチでカレーなどが食べ（たべ）られるようになりましたね。	Nhà hàng Ấn Độ gần đây bắt đầu mở từ hôm nay đấy. Giờ đã có thể ăn những món như cà ri vào bữa trưa rồi nhỉ.	1	Dekiru Nihongo Sơ Trung Cấp
92	餌をペンギンにやっている方、やめてください。	餌（えさ）をペンギンにやっている方（かた）、やめてください。	Vị nào đang cho chim cánh cụt ăn, xin hãy dừng lại.	1	Dekiru Nihongo Sơ Trung Cấp
93	牛肉が高いから、あまり作らない。だから、牛肉の料理を作るのが苦手だ。	牛肉（ぎゅうにく）が高い（たかい）から、あまり作ら（つくら）ない。だから、牛肉（ぎゅうにく）の料理（りょうり）を作る（つくる）のが苦手（にがて）だ。	Vì thịt bò đắt nên tôi không hay nấu. Vì vậy tôi rất kém trong việc nấu các món thịt bò.	1	Dekiru Nihongo Sơ Trung Cấp
94	要資格の仕事を希望する人はすごいですね。資格を取るのは難しいですから。	要資格（ようしかく）の仕事（しごと）を希望（きぼう）する人（ひと）はすごいですね。資格（しかく）を取る（とる）のは難しい（むずかしい）ですから。	Những người mong muốn làm công việc yêu cầu bằng cấp thật là giỏi. Bởi vì việc lấy được bằng cấp rất khó mà.	1	Dekiru Nihongo Sơ Trung Cấp
95	昨日の番組に出た者ですが、私がハンバーグを作ったときの写真をもらえますか。	昨日（きのう）の番組（ばんぐみ）に出（で）た者（もの）ですが、私（わたし）がハンバーグを作った（つくった）ときの内容（ないよう）の写真（しゃしん）をもらえますか。	Tôi là người đã xuất hiện trong chương trình hôm qua, tôi có thể xin tấm ảnh lúc tôi làm món thịt viên Hamburg được không?	1	Dekiru Nihongo Sơ Trung Cấp
96	靴を履いて建物に入るのはほかの人に迷惑をかけるよ。	靴（くつ）を履い（はい）て建物（たてもの）に入（はい）るのはほかの人（ひと）に迷惑（めいわく）をかけるよ。	Việc đi cả giày vào trong tòa nhà sẽ gây phiền hà cho người khác đấy.	1	Dekiru Nihongo Sơ Trung Cấp
97	この歌手は歌うのがとても速いので、全然聞き取れません。	この歌手（かしゅ）は歌う（うたう）のがとても速い（はやい）ので、全然（ぜんぜん）聞き取（ききと）れません。	Ca sĩ này hát rất nhanh nên tôi hoàn toàn không nghe kịp.	1	Dekiru Nihongo Sơ Trung Cấp
98	問い合わせのメールを書くのは難しいので、イヌ先生、少し手伝ってくださいませんか。	問（と）い合（あ）わせのメールを書く（かく）のは難しい（むずかしい）ので、イヌ先生（せんせい）、少し（すこし）手伝って（てつだって）くださいませんか。	Việc viết email hỏi đáp rất khó nên thầy Inu có thể giúp em một chút được không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
99	話さないでください。その時のことは、思い出したくないんです。	話さ（はなさ）ないでください。その時（とき）のことは、思い出し（おもいだし）たくないんです。	Xin đừng nói nữa. Tôi không muốn nhớ lại chuyện lúc đó đâu.	1	Dekiru Nihongo Sơ Trung Cấp
100	ネコさんが作ったチラシを見て、デザインについていろいろ勉強になりました。	ネコさんが作った（つくった）チラシを見（み）て、デザインについていろいろ勉強（べんきょう）になりました。	Xem tờ rơi anh Neko làm, tôi đã học hỏi được rất nhiều về thiết kế.	1	Dekiru Nihongo Sơ Trung Cấp
