STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
23	イヌさんはネコさんに本棚を作ってもらいました。	イヌさんはネコさんに本棚（ほんだな）を作ってもらいました。	Anh Inu đã được anh Neko đóng giúp cái giá sách.	8	Dekiru Nihongo Sơ Trung Cấp
24	近所の人は私に野菜をくれました。	近所の人は私に野菜をくれました。	Người hàng xóm đã cho tôi rau.	8	Dekiru Nihongo Sơ Trung Cấp
25	アルバイト先の店長にお土産を差し上げました。	アルバイト先の店長（てんちょう）にお土産（みやげ）を差（さ）し上げました。	Tôi đã tặng quà lưu niệm cho chủ cửa hàng nơi tôi làm thêm.	8	Dekiru Nihongo Sơ Trung Cấp
26	アルバイト先の人に仕事を教えてもらいました。	アルバイト先の人に仕事を教えてもらいました。	Tôi được người ở chỗ làm thêm chỉ dạy công việc cho.	8	Dekiru Nihongo Sơ Trung Cấp
27	教授は私に本を貸してくださいました。	教授（きょうじゅ）は私に本を貸してくださいました。	Giáo sư đã cho tôi mượn sách.	8	Dekiru Nihongo Sơ Trung Cấp
28	部長は私にネクタイをくださいました。	部長は私にネクタイをくださいました。	Trưởng phòng đã tặng cà vạt cho tôi.	8	Dekiru Nihongo Sơ Trung Cấp
29	ネコさんはイヌさんに資料を見せてあげました。	ネコさんはイヌさんに資料（しりょう）を見せてあげました。	Anh Neko đã cho anh Inu xem tài liệu.	8	Dekiru Nihongo Sơ Trung Cấp
30	私はキツネさんにこの本を差し上げました。	私はキツネさんにこの本を差（さ）し上げました。	Tôi đã tặng cho anh Kitsune cuốn sách này.	8	Dekiru Nihongo Sơ Trung Cấp
31	私は先生にお土産をいただきました。	私は先生にお土産（みやげ）をいただきました。	Tôi đã nhận được quà lưu niệm từ thầy giáo.	8	Dekiru Nihongo Sơ Trung Cấp
32	先生は私に漢字を教えてくださいました。	先生は私に漢字を教えてくださいました。	Thầy giáo đã dạy chữ Hán cho tôi.	8	Dekiru Nihongo Sơ Trung Cấp
33	社長は私を車で送ってくださいました。	社長は私を車で送ってくださいました。	Giám đốc đã đưa tôi về bằng xe ô tô.	8	Dekiru Nihongo Sơ Trung Cấp
34	「手伝ってくれてありがとう」「どういたしまして」	「手伝ってくれてありがとう」「どういたしまして」	Cảm ơn anh đã giúp đỡ - "Không có gì đâu".	8	Dekiru Nihongo Sơ Trung Cấp
35	ネコさんはいつも私を明るい気持ちにさせてくれます。	ネコさんはいつも私を明るい気持ちにさせてくれます。	Anh Neko luôn làm cho tôi cảm thấy vui vẻ.	8	Dekiru Nihongo Sơ Trung Cấp
36	キツネさんはネコさんにチヂミを作ってあげました。	キツネさんはネコさんにチヂミを作ってあげました。	Anh Kitsune đã làm bánh xèo cho anh Neko.	8	Dekiru Nihongo Sơ Trung Cấp
37	イヌさんにプレゼントをもらって、とてもうれしいです。	イヌさんにプレゼントをもらって、とてもうれしいです。	Được anh Inu tặng quà, tôi thấy rất vui.	8	Dekiru Nihongo Sơ Trung Cấp
38	ネコさんはキツネさんのために花を飾ってあげました。	ネコさんはキツネさんのために花を飾（かざ）ってあげました。	Anh Neko đã trang trí hoa giúp anh Kitsune.	8	Dekiru Nihongo Sơ Trung Cấp
39	みんなでイヌさんのために乾杯してあげましょう。	みんなでイヌさんのために乾杯（かんぱい）してあげましょう。	Mọi người hãy cùng nâng ly chúc mừng cho anh Inu nào.	8	Dekiru Nihongo Sơ Trung Cấp
40	久しぶりに会ったネコさんは私にお茶を淹れてくれました。	久しぶりに会ったネコさんは私にお茶を淹（い）れてくれました。	Lâu ngày mới gặp, anh Neko đã pha trà cho tôi uống.	8	Dekiru Nihongo Sơ Trung Cấp
41	負けて悔しいネコさんを慰めてあげました。	負けて悔（くや）しいネコさんを慰（なぐさ）めてあげました。	Tôi đã an ủi anh Neko vì anh ấy đang tiếc nuối do bị thua.	8	Dekiru Nihongo Sơ Trung Cấp
42	キツネさんは懐かしい写真を私に見せてくれました。	キツネさんは懐（なつ）かしい写真を私に見せてくれました。	Anh Kitsune đã cho tôi xem những bức ảnh cũ đầy kỷ niệm.	8	Dekiru Nihongo Sơ Trung Cấp
43	病気のとき、イヌさんはお粥を作ってくれました。	病気のとき、イヌさんはお粥（かゆ）を作ってくれました。	Khi tôi bị ốm, anh Inu đã nấu cháo cho tôi.	8	Dekiru Nihongo Sơ Trung Cấp
44	病気のとき、ルームメイトにご飯を作ってもらいました。	病気のとき、ルームメイトにご飯を作ってもらいました。	Khi tôi bị ốm, tôi đã được bạn cùng phòng nấu cơm cho ăn.	8	Dekiru Nihongo Sơ Trung Cấp
45	恋人が私に鞄を買ってくれました。	恋人（こいびと）が私に鞄（かばん）を買ってくれました。	Người yêu đã mua tặng tôi một chiếc túi xách.	8	Dekiru Nihongo Sơ Trung Cấp
46	昨日、私はおばあさんに荷物を持ってあげました。	昨日、私はおばあさんに荷物を持ってあげました。	Hôm qua, tôi đã xách hành lý giúp một bà cụ.	8	Dekiru Nihongo Sơ Trung Cấp
47	友達がなかなかCDを返してもらわなくて、困っています。	友達がなかなかCDを返してもらわなくて、困っています。	Bạn tôi mãi không trả lại đĩa CD làm tôi rất khó xử.	8	Dekiru Nihongo Sơ Trung Cấp
48	昨日、キツネさんに浅草を案内していただきました。	昨日、キツネさんに浅草（あさくさ）を案内していただきました。	Hôm qua, tôi đã được anh Kitsune dẫn đi tham quan Asakusa.	8	Dekiru Nihongo Sơ Trung Cấp
49	イヌ先生がバーベキューの中止を知らせてくださいました。	イヌ先生がバーベキューの中止（ちゅうし）を知らせてくださいました。	Thầy Inu đã thông báo cho chúng tôi về việc hủy buổi tiệc nướng BBQ.	8	Dekiru Nihongo Sơ Trung Cấp
50	市民センターへの行き方はだいたいわかります。道に迷ったら、ネコさんに電話して、ネコさんが教えてくれます。	市民（しみん）センターへの行き方はだいたいわかります。道に迷（まよ）ったら、ネコさんに電話して、ネコさんが教えてくれます。	Tôi đại khái biết đường đến trung tâm hành chính công rồi. Nếu bị lạc đường, tôi sẽ gọi cho anh Neko và anh ấy sẽ chỉ đường cho.	8	Dekiru Nihongo Sơ Trung Cấp
51	いつも自分で料理をしますが、昨日は忙しすぎたので、ルームメイトにお弁当を買ってきてくれるかどうか聞きました。	いつも自分で料理をしますが、昨日は忙しすぎたので、ルームメイトにお弁当（べんとう）を買ってきてくれるかどうか聞きました。	Bình thường tôi toàn tự nấu ăn, nhưng hôm qua bận quá nên đã hỏi xem bạn cùng phòng có thể mua hộ hộp cơm bento về không.	8	Dekiru Nihongo Sơ Trung Cấp
52	先週、横浜へ行った。交流会の方が連れて行ってくださいましたよ。	先週、横浜（よこはま）へ行った。交流（こうりゅう）会の方が連れて行ってくださいましたよ。	Tuần trước tôi có đi Yokohama. Một người ở buổi giao lưu đã dẫn tôi đi đấy.	8	Dekiru Nihongo Sơ Trung Cấp
53	週末、引っ越しだったんだ。大変だったけど、友達に手伝ってもらったから、１日で終わることができた。	週末、引っ越（こ）しだったんだ。大変だったけど、友達に手伝ってもらったから、１日で終わることができた。	Cuối tuần rồi tôi chuyển nhà. Tuy vất vả nhưng nhờ được bạn bè phụ giúp nên đã xong xuôi chỉ trong một ngày.	8	Dekiru Nihongo Sơ Trung Cấp
54	残念だね。会社の皆さんは、今週の土曜日に山に登る予定がありますが、その日、国から妹が来て、いろいろ案内してあげなければならないから、一緒に行けないんだ。	残念だね。会社の皆さんは、今週の土曜日に山に登（のぼ）る予定がありますが、その日、国から妹が来て、いろいろ案内してあげなければならないから、一緒に行けないんだ。	Tiếc quá nhỉ. Mọi người trong công ty có lịch leo núi vào thứ Bảy tuần này, nhưng hôm đó em gái tôi từ nước nhà sang, tôi phải dẫn nó đi chơi chỗ này chỗ kia nên không đi cùng được.	8	Dekiru Nihongo Sơ Trung Cấp
55	この「ラストダンス」という漫画はアルバイト先の店長の奥さんに貸していただきました。とても面白かったです。	この「ラストダンス」という漫画（まんが）はアルバイト先の店長（てんちょう）の奥（おく）さんに貸していただきました。とても面白かったです。	Cuốn truyện tranh "Last Dance" này là tôi được vợ của chủ tiệm nơi làm thêm cho mượn đấy. Nó hay cực kỳ luôn.	8	Dekiru Nihongo Sơ Trung Cấp
56	この椅子はきれいですか。近所の方がくださいましたよ。	この椅子（いす）はきれいですか。近所の方がくださいましたよ。	Chiếc ghế này đẹp chứ? Một người hàng xóm đã tặng tôi đấy.	8	Dekiru Nihongo Sơ Trung Cấp
57	本日の会議はここまでです。お時間をいただいてありがとうございました。	本日の会議はここまでです。お時間をいただいてありがとうございました。	Cuộc họp hôm nay đến đây là kết thúc. Cảm ơn mọi người đã dành thời gian.	8	Dekiru Nihongo Sơ Trung Cấp
58	メールをお送りいたしましたが、正しくないところがないか否かご確認いただけませんか。	メールをお送りいたしましたが、正しくないところがないか否（いな）かご確認（かくにん）いただけませんか。	Tôi đã gửi email rồi, anh/chị có thể kiểm tra lại xem có chỗ nào sai sót hay không giúp tôi được không ạ?	8	Dekiru Nihongo Sơ Trung Cấp
59	道に迷っている子どもはお巡りさんにお団子をもらって、うれしそうです。	道に迷（まよ）っている子どもはお巡り（まわり）さんにお団子（だんご）をもらって、うれしそうです。	Đứa trẻ lạc đường được chú cảnh sát cho bánh dango nên trông có vẻ rất vui.	8	Dekiru Nihongo Sơ Trung Cấp
60	今度一緒にうちに来ない？肉じゃがの作り方は難しくないから、教えてあげる。	今度一緒にうちに来ない？肉じゃがの作り方は難しくないから、教えてあげる。	Lần tới tới nhà tớ chơi không? Cách nấu thịt kho khoai tây không khó đâu, tớ sẽ chỉ cho.	8	Dekiru Nihongo Sơ Trung Cấp
61	キツネさん、ネコさん、夏休みどこへ行きましょうか。湖があって、キツネさんに魚を捕ってもらえるところへ行きたいです。	キツネさん、ネコさん、夏休みどこへ行きましょうか。湖（みずうみ）があって、キツネさんに魚を捕（と）ってもらえるところへ行きたいです。	Anh Kitsune, anh Neko ơi, nghỉ hè này tụi mình đi đâu chơi đi? Em muốn đến nơi nào có hồ nước và được anh Kitsune bắt cá cho cơ.	8	Dekiru Nihongo Sơ Trung Cấp
62	タクシーに財布を忘れてしまいましたが、運転手さんが交番に届けてくれました。	タクシーに財布（さいふ）を忘れてしまいましたが、運転手さんが交番に届け（とどけ）てくれました。	Tôi lỡ quên ví trên xe taxi nhưng anh tài xế đã mang đến nộp cho đồn cảnh sát giúp rồi.	8	Dekiru Nihongo Sơ Trung Cấp
63	明日、用事があるので、一緒に来られません。どんな電車に乗るかわからなかったら、駅員さんに聞いてくださいね。	明日、用事があるので、一緒に来られません。どんな電車に乗るかわからなかったら、駅員さんに聞いてくださいね。	Ngày mai vì có việc bận nên tôi không đi cùng được. Nếu không biết phải đi chuyến tàu nào thì bạn cứ hỏi anh nhân viên nhà ga nhé.	8	Dekiru Nihongo Sơ Trung Cấp
64	その日、私はちょっとお酒を飲みすぎちゃって、部長にうちまで車で送っていただきました。	その日、私はちょっとお酒を飲みすぎちゃって、部長にうちまで車で送っていただきました。	Hôm đó tôi lỡ uống hơi quá chén nên đã được trưởng phòng dùng xe ô tô đưa về tận nhà.	8	Dekiru Nihongo Sơ Trung Cấp
65	パソコンを直すために、まず消して、１分ぐらいしてから、もう一度つけてみてください。	パソコンを直（なお）すために、まず消して、１分ぐらいしてから、もう一度つけてみてください。	Để sửa máy tính, trước tiên bạn hãy tắt máy đi, đợi khoảng 1 phút rồi bật lại thử xem nhé.	8	Dekiru Nihongo Sơ Trung Cấp
66	５０才になったら、自分で開いたお店を子どもに譲ってあげようと思っています。	５０才になったら、自分で開いたお店を子どもに譲（ゆず）ってあげようと思っています。	Tôi dự định khi nào 50 tuổi sẽ nhượng lại ngôi tiệm do tự tay mình mở cho con cái.	8	Dekiru Nihongo Sơ Trung Cấp
67	先月の月末に、道にあるノートを拾って、中に書いてある電話番号に連絡して、ノートを返しました。それで、ノートの持ち主から５０００円もらいました。	先月の月末に、道にあるノートを拾（ひろ）って、中に書いてある電話番号に連絡して、ノートを返しました。それで、ノートの持ち主（ぬし）から５０００円もらいました。	Cuối tháng trước, tôi nhặt được một cuốn sổ tay ở trên đường, liền liên lạc theo số điện thoại ghi bên trong để trả lại. Nhờ vậy mà tôi đã nhận được 5000 yên từ chủ nhân cuốn sổ.	8	Dekiru Nihongo Sơ Trung Cấp
68	日本の生活はそんなに難しくないですが、まだ慣れていなかったときにみなさんがくれたサポートは、小さくても今でも大切にしています。	日本の生活はそんなに難しくないですが、まだ慣（な）れていなかったときにみなさんがくれたサポートは、小さくても今でも大切にしています。	Cuộc sống ở Nhật tuy không đến nỗi quá khó khăn, nhưng những sự hỗ trợ mà mọi người dành cho tôi khi chưa quen máy luôn được tôi trân trọng cho đến tận bây giờ, dù là nhỏ nhặt nhất.	8	Dekiru Nihongo Sơ Trung Cấp
69	私の結婚式に花瓶と茶碗をたくさんもらいました。どうしてかわかりませんでしたが、誰にも聞けませんでした。	私の結婚式に花瓶（かびん）と茶碗（ちゃわん）をたくさんもらいました。どうしてかわかりませんでしたが、誰（だれ）にも聞けませんでした。	Vào đám cưới của mình, tôi đã nhận được rất nhiều bình hoa và bát ăn cơm. Chẳng hiểu tại sao lại thế nhưng tôi cũng chẳng dám hỏi ai.	8	Dekiru Nihongo Sơ Trung Cấp
70	イヌ先生、資料を私の机に置いておいていただけませんか。お客さんとの電話が終わってから読みます。	イヌ先生、資料（しりょう）を私の机（つくえ）に置いておいていただけませんか。お客さんとの電話が終わってから読みます。	Thầy Inu ơi, thầy có thể đặt tài liệu lên bàn giúp em được không ạ? Sau khi gọi điện cho khách hàng xong em sẽ đọc ạ.	8	Dekiru Nihongo Sơ Trung Cấp
71	この本棚は大学に入ったときにもらいました。大切にしているので、毎週きれいにしています。	この本棚（ほんだな）は大学に入ったときにもらいました。大切にしているので、毎週きれいにしています。	Chiếc giá sách này tôi được tặng từ hồi mới vào đại học. Vì rất trân trọng nó nên tuần nào tôi cũng lau chùi sạch sẽ.	8	Dekiru Nihongo Sơ Trung Cấp
72	近所の山に登っていたときに、けがをしてしまったんだ。でも、知らない人が手伝ってくれて、無事に山を下りることができました。	近所の山に登（のぼ）っていたときに、けがをしてしまったんだ。でも、知らない人が手伝ってくれて、無事（ぶじ）に山を下りることができました。	Lúc đang leo ngọn núi gần nhà thì tôi lại bị thương. Nhưng may thay có một người lạ đã giúp đỡ nên tôi mới xuống núi an toàn được.	8	Dekiru Nihongo Sơ Trung Cấp
73	スピーチ大会のために準備する必要がありますね。ネコさんはもう教室を飾ってくれているので、私は必要なものを用意しておきますね。	スピーチ大会のために準備（じゅんび）する必要がありますね。ネコさんはもう教室を飾（かざ）ってくれているので、私は必要なものを用意しておきますね。	Chúng ta cần chuẩn bị cho cuộc thi hùng biện nhỉ. Anh Neko đã trang trí xong lớp học rồi, nên tôi sẽ chuẩn bị trước những đồ dùng cần thiết nhé.	8	Dekiru Nihongo Sơ Trung Cấp
74	旅行先の人の日本語がとても聞き取りにくかったです。書いてもらわないと、全然わかりませんでした。	旅行先の人の日本語がとても聞き取りにくかったです。書いてもらわないと、全然わかりませんでした。	Tiếng Nhật của người dân ở nơi tôi đi du lịch cực kỳ khó nghe. Nếu họ không viết ra thì tôi hoàn toàn chẳng hiểu gì cả.	8	Dekiru Nihongo Sơ Trung Cấp
75	久しぶりに国に帰って、懐かしい景色を見ました。でも、近所の人が私の家が無くなってしまったと教えてくれました。	久しぶりに国に帰って、懐（なつ）かしい景色（けしき）を見ました。でも、近所の人が私の家が無くなってしまったと教えてくれました。	Lâu lắm mới về nước, tôi đã được ngắm lại những cảnh sắc đầy kỷ niệm. Thế nhưng, người hàng xóm lại cho biết nhà của tôi đã không còn nữa rồi.	8	Dekiru Nihongo Sơ Trung Cấp
