STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
13	今日の伝票はもう全部整理してしまいました。	今日の伝票（でんぴょう）はもう全部整理（せいり）してしまいました。	Tôi đã sắp xếp xong toàn bộ hóa đơn của ngày hôm nay rồi.	9	Dekiru Nihongo Sơ Trung Cấp
14	道具を使ったら、元の場所に戻しておいてください。	道具を使ったら、元の場所に戻（もど）しておいてください。	Sau khi dùng xong dụng cụ thì cứ để lại chỗ cũ nhé.	9	Dekiru Nihongo Sơ Trung Cấp
15	床が濡れているので、滑りそうです。	床（ゆか）が濡（ぬ）れているので、滑（すべ）りそうです。	Sàn nhà đang ướt nên có vẻ sắp trơn trượt đấy.	9	Dekiru Nihongo Sơ Trung Cấp
16	休みを取る予定があれば、１日前に連絡しなければならないことになっている。	休みを取る予定があれば、１日前に連絡（れんらく）しなければならないことになっている。	Nếu có dự định nghỉ phép thì quy định là phải liên lạc trước 1 ngày.	9	Dekiru Nihongo Sơ Trung Cấp
17	キツネさんはもう空手の練習を全部してしまいました。	キツネさんはもう空手の練習を全部してしまいました。	Anh Kitsune đã hoàn thành xong toàn bộ bài tập Karate rồi.	9	Dekiru Nihongo Sơ Trung Cấp
18	エアコンの温度を変える前に、店長に連絡することになっている。	エアコンの温度を変える前に、店長に連絡（れんらく）することになっている。	Có quy định là trước khi điều chỉnh nhiệt độ điều hòa thì cần liên lạc với cửa hàng trưởng.	9	Dekiru Nihongo Sơ Trung Cấp
19	代わりのスタッフがいればシフトが変えられる。	代わりのスタッフがいればシフトが変えられる。	Nếu có nhân viên thay thế thì có thể đổi ca làm việc.	9	Dekiru Nihongo Sơ Trung Cấp
20	洗剤がもうすぐなくなりそうです。	洗剤（せんざい）がもうすぐなくなりそうです。	Xà phòng dường như sắp hết rồi.	9	Dekiru Nihongo Sơ Trung Cấp
21	手を洗った後で拭けるように、ハンカチを持ってきます。	手を洗った後で拭（ふ）けるように、ハンカチを持ってきます。	Tôi mang theo khăn tay để lau sau khi rửa tay.	9	Dekiru Nihongo Sơ Trung Cấp
22	都合が悪ければ、明日でもいいですよ。	都合が悪ければ、明日でもいいですよ。	Nếu không tiện thì để ngày mai cũng được nhé.	9	Dekiru Nihongo Sơ Trung Cấp
23	わからないときは、聞く前にマニュアルを見ることになっている。	わからないときは、聞く前にマニュアルを見ることになっている。	Khi không hiểu, theo quy định thì trước khi hỏi cần đọc sách hướng dẫn.	9	Dekiru Nihongo Sơ Trung Cấp
24	すみません、月曜日は…オーブンが届くから…	すみません、月曜日は…オーブンが届（とど）くから…	Xin lỗi, thứ Hai thì không được. Người ta sẽ giao lò nướng ấy…	9	Dekiru Nihongo Sơ Trung Cấp
25	壁の汚れをきれいに拭いてしまいました。	壁（かべ）の汚れをきれいに拭（ふ）いてしまいました。	Tôi đã lau sạch bong các vết bẩn trên tường rồi.	9	Dekiru Nihongo Sơ Trung Cấp
26	お店のルールを忘れないようにしてください。	お店のルールを忘れないようにしてください。	Hãy chú ý đừng quên các quy tắc của cửa hàng.	9	Dekiru Nihongo Sơ Trung Cấp
27	キツネ様、こちらへお進みください。	キツネ様、こちらへお進みください。	Ngài Kitsune, mời ngài đi hướng này ạ.	9	Dekiru Nihongo Sơ Trung Cấp
28	お客様が来たら、明るい声で挨拶することになっています。	お客様が来たら、明るい声で挨拶（あいさつ）することになっています。	Quy định là khi khách đến phải chào hỏi bằng giọng tươi tắn.	9	Dekiru Nihongo Sơ Trung Cấp
29	無理な仕事なら、断ってもいいですよ。	無理な仕事なら、断（ことわ）ってもいいですよ。	Nếu là công việc quá sức thì anh từ chối cũng được mà.	9	Dekiru Nihongo Sơ Trung Cấp
30	レポートは明日までに出すことになっています。	レポートは明日までに出すことになっています。	Theo quy định là phải nộp báo cáo trước ngày mai.	9	Dekiru Nihongo Sơ Trung Cấp
31	この資料をネコさんにお渡しください。	この資料をネコさんにお渡しください。	Anh vui lòng đưa tài liệu này cho anh Neko giúp ạ.	9	Dekiru Nihongo Sơ Trung Cấp
32	ここで制服に着替えることになっています。	ここで制服（せいふく）に着替（きが）えることになっています。	Quy định là phải thay đồng phục ở đây.	9	Dekiru Nihongo Sơ Trung Cấp
33	毎日名札をつけるようにしてください。	毎日名札（なふだ）をつけるようにしてください。	Hãy luôn chú ý đeo bảng tên mỗi ngày nhé.	9	Dekiru Nihongo Sơ Trung Cấp
34	友達とおしゃべりできるように、SNSで人気のあるものを調べておきました。	友達とおしゃべりできるように、SNSで人気のあるものを調べておきました。	Để có thể nói chuyện với bạn bè, tôi đã tìm hiểu những thứ đang thịnh hành trên mạng xã hội.	9	Dekiru Nihongo Sơ Trung Cấp
35	帰る前に、窓が閉まっているかどうか全部チェックするようにしてください。	帰る前に、窓（まど）が閉まっているかどうか全部チェックするようにしてください。	Trước khi về, anh vui lòng kiểm tra lại xem đã đóng toàn bộ cửa sổ chưa.	9	Dekiru Nihongo Sơ Trung Cấp
36	洗濯物がすぐ乾きそうです。	洗濯物（せんたくもの）がすぐ乾（かわ）きそうです。	Quần áo có vẻ sắp khô ngay rồi.	9	Dekiru Nihongo Sơ Trung Cấp
37	使った道具は箱の中にしまっておいてください。	使った道具は箱（はこ）の中にしまっておいてください。	Dụng cụ đã dùng thì cứ để cất trong hộp nhé.	9	Dekiru Nihongo Sơ Trung Cấp
38	床が濡れているので、滑りそうです。	床（ゆか）が濡（ぬ）れているので、滑（すべ）りそうです。	Sàn nhà đang ướt nên có vẻ sắp trượt đấy.	9	Dekiru Nihongo Sơ Trung Cấp
39	お客さんの荷物を運んでしまうから、お先に食事してください。	お客さんの荷物を運んでしまうから、お先に食事してください。	Tớ cần bê hành lí cho khách xong đã nên cậu cứ ăn trước đi.	9	Dekiru Nihongo Sơ Trung Cấp
40	窓は開けたまま、きれいに拭いておいてください。	窓（まど）は開けたまま、きれいに拭（ふ）いておいてください。	Cứ mở cửa sổ rồi lau sạch cho tôi nhé.	9	Dekiru Nihongo Sơ Trung Cấp
41	洗濯物は外に干すことになっています。	洗濯物（せんたくもの）は外に干（ほ）すことになっています。	Theo quy định là phải phơi quần áo ở bên ngoài.	9	Dekiru Nihongo Sơ Trung Cấp
42	イヌさんは部屋を全部片付けてしまいました。	イヌさんは部屋を全部片付（かたづ）けてしまいました。	Anh Inu đã dọn dẹp xong xuôi toàn bộ căn phòng rồi.	9	Dekiru Nihongo Sơ Trung Cấp
43	燃えるゴミは火曜日と金曜日に捨てることになっています。	燃（も）えるゴミは火曜日と金曜日に捨（す）てることになっています。	Theo quy định thì rác cháy được sẽ đổ vào thứ Ba và thứ Sáu.	9	Dekiru Nihongo Sơ Trung Cấp
44	近所の人に会ったら、あいさつするようにしてください。	近所の人に会ったら、あいさつするようにしてください。	Khi gặp hàng xóm, hãy cố gắng chào hỏi họ nhé.	9	Dekiru Nihongo Sơ Trung Cấp
45	この席が空けば、座ってもいいですか。	この席が空けば、座（すわ）ってもいいですか。	Nếu ghế này còn trống thì tôi ngồi có được không?	9	Dekiru Nihongo Sơ Trung Cấp
46	雨がやんで、気温が上がりそうです。	雨がやんで、気温が上がりそうです。	Mưa tạnh rồi, có vẻ nhiệt độ sắp tăng lên đấy.	9	Dekiru Nihongo Sơ Trung Cấp
47	電話をお代わりください。	電話をお代わりください。	Xin vui lòng chuyển máy (thay người nghe) ạ.	9	Dekiru Nihongo Sơ Trung Cấp
48	手伝いが必要なら、キツネさんを呼べばいいですよ。	手伝いが必要なら、キツネさんを呼べばいいですよ。	Nếu cần giúp đỡ thì anh cứ gọi anh Kitsune là được.	9	Dekiru Nihongo Sơ Trung Cấp
49	後ろの人にも見えるように、もっと高く上げてください。	後ろの人にも見えるように、もっと高く上げてください。	Hãy giơ cao lên nữa để người phía sau cũng nhìn thấy được.	9	Dekiru Nihongo Sơ Trung Cấp
50	値段が下がるまで、待つことになりました。	値段（ねだん）が下がるまで、待つことになりました。	Đã có quyết định là sẽ đợi cho đến khi giá giảm xuống.	9	Dekiru Nihongo Sơ Trung Cấp
51	お金が足りるなら、バターも買っておいてください。	お金が足りるなら、バターも買っておいてください。	Nếu đủ tiền thì cứ mua sẵn cả bơ nữa nhé.	9	Dekiru Nihongo Sơ Trung Cấp
52	自転車は邪魔にならないようにしてください。	自転車は邪魔（じゃま）にならないようにしてください。	Hãy chú ý đừng để xe đạp gây vướng víu.	9	Dekiru Nihongo Sơ Trung Cấp
53	お客様には丁寧な言葉で話すことになっています。	お客様には丁寧（ていねい）な言葉で話すことになっています。	Theo quy định là phải nói chuyện với khách hàng bằng từ ngữ lịch sự.	9	Dekiru Nihongo Sơ Trung Cấp
54	忘れないように、しっかり覚えておいてください。	忘れないように、しっかり覚えておいてください。	Hãy ghi nhớ thật kỹ (giữ trạng thái nhớ đó) để không bị quên nhé.	9	Dekiru Nihongo Sơ Trung Cấp
55	仕事中は絶対に寝ないようにしてください。	仕事中は絶対に寝ないようにしてください。	Hãy quyết tâm không được ngủ trong giờ làm việc.	9	Dekiru Nihongo Sơ Trung Cấp
56	字がはっきり見えるように、眼鏡をかけます。	字がはっきり見えるように、眼鏡（めがね）をかけます。	Tôi đeo kính để nhìn chữ cho rõ ràng.	9	Dekiru Nihongo Sơ Trung Cấp
57	イヌさんは大きなパンを全部食べてしまいました。	イヌさんは大きなパンを全部食べてしまいました。	Anh Inu đã ăn hết sạch cái bánh mì to đùng rồi.	9	Dekiru Nihongo Sơ Trung Cấp
58	こちらの新しいお手洗いをお使いください。	こちらの新しいお手洗いをお使いください。	Xin mời quý khách sử dụng nhà vệ sinh mới này ạ.	9	Dekiru Nihongo Sơ Trung Cấp
59	ガソリンがなくなりそうなので、入れておきましょう。	ガソリンがなくなりそうなので、入れておきましょう。	Vì xăng có vẻ sắp hết nên cứ đổ sẵn vào thôi nào.	9	Dekiru Nihongo Sơ Trung Cấp
60	荷物が落ちないように、ひもで結んでください。	荷物が落ちないように、ひもで結（むす）んでください。	Hãy buộc bằng dây để hành lý không bị rơi.	9	Dekiru Nihongo Sơ Trung Cấp
61	ゴミは袋に入れたままにしておいてください。	ゴミは袋（ふくろ）に入れたままにしておいてください。	Rác thì cứ để nguyên trong túi như vậy nhé.	9	Dekiru Nihongo Sơ Trung Cấp
62	ネコさんはモップで床をきれいに拭いてしまいました。	ネコさんはモップで床（ゆか）をきれいに拭（ふ）いてしまいました。	Anh Neko đã dùng cây lau nhà lau sạch bong sàn nhà rồi.	9	Dekiru Nihongo Sơ Trung Cấp
63	大事な書類は引き出しに入れておくことになっています。	大事な書類（しょるい）は引き出しに入れておくことになっています。	Theo quy định là tài liệu quan trọng phải luôn để trong ngăn kéo.	9	Dekiru Nihongo Sơ Trung Cấp
64	このバターは全部料理に使ってしまいました。	このバターは全部料理に使ってしまいました。	Tôi đã dùng hết sạch chỗ bơ này để nấu ăn rồi.	9	Dekiru Nihongo Sơ Trung Cấp
65	スープが鍋からこぼれそうです。	スープが鍋（なべ）からこぼれそうです。	Súp có vẻ sắp tràn ra khỏi nồi rồi.	9	Dekiru Nihongo Sơ Trung Cấp
66	使い終わった瓶はここに捨てることになっています。	使い終わった瓶（びん）はここに捨（す）てることになっています。	Theo quy định thì chai lọ dùng xong phải vứt ở đây.	9	Dekiru Nihongo Sơ Trung Cấp
67	出かける前に、ガスを止めるようにしてください。	出かける前に、ガスを止めるようにしてください。	Trước khi ra ngoài, hãy chú ý tắt gas nhé.	9	Dekiru Nihongo Sơ Trung Cấp
68	この袋はまだ使うので、そこに置いておいてください。	この袋（ふくろ）はまだ使うので、そこに置いておいてください。	Cái túi này vẫn còn dùng nên cứ để tạm ở đó nhé.	9	Dekiru Nihongo Sơ Trung Cấp
69	こちらの椅子におかけください。	こちらの椅子（いす）におかけください。	Xin hãy ngồi xuống chiếc ghế này.	9	Dekiru Nihongo Sơ Trung Cấp
70	ご注文が決まったら、お呼びください。	ご注文が決まったら、お呼びください。	Sau khi quý khách quyết định món ăn thì hãy gọi tôi nhé.	9	Dekiru Nihongo Sơ Trung Cấp
71	寝る前に、窓が閉まっているか確かめるようにしてください。	寝る前に、窓（まど）が閉まっているか確か（たしか）めるようにしてください。	Trước khi ngủ, hãy chú ý kiểm tra xem cửa sổ đã đóng chưa nhé.	9	Dekiru Nihongo Sơ Trung Cấp
72	車に注意すれば、道を渡ってもいいですよ。	車に注意すれば、道を渡ってもいいですよ。	Nếu chú ý xe cộ thì bạn có thể băng qua đường.	9	Dekiru Nihongo Sơ Trung Cấp
73	砂糖がなくなりそうだ。	砂糖（さとう）がなくなりそうだ。	Sắp hết đường rồi.	9	Dekiru Nihongo Sơ Trung Cấp
74	この電池はもうすぐ切れそうです。	この電池はもうすぐ切れそうです。	Viên pin này có vẻ sắp hết rồi.	9	Dekiru Nihongo Sơ Trung Cấp
75	キツネさん、魚が焦げそうですよ。	キツネさん、魚が焦（こ）げそうですよ。	Anh Kitsune ơi, cá sắp cháy rồi kìa.	9	Dekiru Nihongo Sơ Trung Cấp
76	その袋が破れそうですよ。	その袋（ふくろ）が破（やぶ）れそうですよ。	Cái túi đó sắp rách rồi kìa.	9	Dekiru Nihongo Sơ Trung Cấp
77	コップは洗わなくていいです。そのままにしておいてください。	コップは洗わなくていいです。そのままにしておいてください。	Cốc không cần rửa đâu. Cứ để nguyên đó nhé.	9	Dekiru Nihongo Sơ Trung Cấp
78	ネコさんは椅子を全部並べてしまいました。	ネコさんは椅子（いす）を全部並（なら）べてしまいました。	Anh Neko đã sắp xếp xong hết đống ghế rồi.	9	Dekiru Nihongo Sơ Trung Cấp
79	１２時から１時間、休憩することになっています。	１２時から１時間、休憩（きゅうけい）することになっています。	Theo quy định thì sẽ nghỉ giải lao 1 tiếng từ lúc 12 giờ.	9	Dekiru Nihongo Sơ Trung Cấp
80	棚の上の荷物に手が届きそうです。	棚（たな）の上の荷物に手が届（とど）きそうです。	Tôi có vẻ sắp với tới hành lý trên kệ rồi.	9	Dekiru Nihongo Sơ Trung Cấp
81	少々お待ちください。	少々お待ちください。	Xin vui lòng chờ trong giây lát.	9	Dekiru Nihongo Sơ Trung Cấp
82	机を拭いてしまうから、お先にどうぞ。	机（つくえ）を拭（ふ）いてしまうから、お先にどうぞ。	Tôi lau xong cái bàn đã, anh cứ đi trước đi.	9	Dekiru Nihongo Sơ Trung Cấp
83	みんなの前で間違えれば恥ずかしいです。	みんなの前で間違えれば恥（はず）かしいです。	Nếu sai trước mặt mọi người thì xấu hổ lắm.	9	Dekiru Nihongo Sơ Trung Cấp
84	雨ですから、傘を持って行くようにしてください。	雨ですから、傘（かさ）を持って行くようにしてください。	Vì trời mưa nên hãy nhớ mang theo ô nhé.	9	Dekiru Nihongo Sơ Trung Cấp
85	最初は、教室では日本語で話すようにしてください。	最初は、教室では日本語で話すようにしてください。	Trước hết, vui lòng nói tiếng Nhật trong lớp học.	9	Dekiru Nihongo Sơ Trung Cấp
86	イヌさんは先に宿題を全部やってしまいました。	イヌさんは先に宿題を全部やってしまいました。	Anh Inu đã làm xong hết bài tập trước rồi.	9	Dekiru Nihongo Sơ Trung Cấp
87	ほうきはそこに置いておいてください。	ほうきはそこに置いておいてください。	Cứ để cây chổi ở đó đi.	9	Dekiru Nihongo Sơ Trung Cấp
88	ちり取りでゴミを全部捨ててしまいました。	ちり取りでゴミを全部捨て（すて）てしまいました。	Tôi đã dùng hốt rác đổ xong hết đống rác đi rồi.	9	Dekiru Nihongo Sơ Trung Cấp
89	毎日、掃除機をかけるようにしてください。	毎日、掃除（そうじ）機をかけるようにしてください。	Hãy chú ý hút bụi mỗi ngày nhé.	9	Dekiru Nihongo Sơ Trung Cấp
90	雑巾は洗って、そこにかけておいてください。	雑巾（ぞうきん）は洗って、そこにかけておいてください。	Giẻ lau thì hãy giặt rồi cứ treo ở đó nhé.	9	Dekiru Nihongo Sơ Trung Cấp
91	バケツの水がこぼれそうです。	バケツの水がこぼれそうです。	Nước trong xô sắp tràn ra ngoài rồi.	9	Dekiru Nihongo Sơ Trung Cấp
92	屋上でタバコを吸わないことになっています。	屋上でタバコを吸わないことになっています。	Quy định là không được hút thuốc trên sân thượng.	9	Dekiru Nihongo Sơ Trung Cấp
93	本気なら、一生懸命頑張ってください。	本気なら、一生懸命（いっしょうけんめい）頑張（がんば）ってください。	Nếu bạn thực sự nghiêm túc thì hãy cố gắng hết mình nhé.	9	Dekiru Nihongo Sơ Trung Cấp
94	部屋が臭いですから、窓を開けるようにしてください。	部屋が臭（くさ）いですから、窓（まど）を開けるようにしてください。	Phòng hôi quá nên hãy chú ý mở cửa sổ ra nhé.	9	Dekiru Nihongo Sơ Trung Cấp
95	来週、新しいカリキュラムが始まることになりました。	来週、新しいカリキュラムが始まることになりました。	Đã có quyết định là tuần sau sẽ bắt đầu chương trình học mới.	9	Dekiru Nihongo Sơ Trung Cấp
96	入社の前に、この書類をご記入ください。	入社の前に、この書類（しょるい）をご記入ください。	Trước khi vào công ty, vui lòng điền vào giấy tờ này.	9	Dekiru Nihongo Sơ Trung Cấp
97	使わない物は、物置に入れておいてください。	使わない物は、物置に入れておいてください。	Những đồ không dùng đến thì cứ để tạm vào kho nhé.	9	Dekiru Nihongo Sơ Trung Cấp
98	危ないですから、ガソリンスタンドでは火を使わないようにしてください。	危ないですから、ガソリンスタンドでは火を使わないようにしてください。	Vì nguy hiểm nên ở trạm xăng hãy cố gắng đừng dùng lửa.	9	Dekiru Nihongo Sơ Trung Cấp
99	ああ、そのロープをしまわないでください。後で使うので、出しておいてください。	ああ、そのロープをしまわないでください。後で使うので、出しておいてください。	Ấy, đừng cất sợi dây đó. Lát tôi sẽ dùng nên cứ để ngoài cho tôi.	9	Dekiru Nihongo Sơ Trung Cấp
100	この缶は後で使いますから、そのまま置いておいてください。	この缶（かん）は後で使いますから、そのまま置いておいてください。	Lon này lát nữa sẽ dùng nên cứ để nguyên ở đó nhé.	9	Dekiru Nihongo Sơ Trung Cấp
101	飲み終わったペットボトルは、捨てることになっている。	飲み終わったペットボトルは、捨（す）てることになっている。	Chai nhựa uống xong thì được quy định là phải vứt đi.	9	Dekiru Nihongo Sơ Trung Cấp
102	ネコさんは大事な紙を破ってしまいました。	ネコさんは大事な紙を破（やぶ）ってしまいました。	Anh Neko đã xé xong tờ giấy quan trọng mất rồi.	9	Dekiru Nihongo Sơ Trung Cấp
103	料理の前に、石鹸で手を洗うようにしてください。	料理の前に、石鹸で手を洗うようにしてください。	Trước khi nấu ăn, hãy cố gắng rửa tay bằng xà phòng.	9	Dekiru Nihongo Sơ Trung Cấp
104	来週、健康検査を受けることになります。	来週、健康検査（けんこうけんさ）を受けることになります。	Tuần sau sẽ được quyết định là đi kiểm tra sức khỏe.	9	Dekiru Nihongo Sơ Trung Cấp
105	雨が降りそうですから、足元に気を付けてください。	雨が降りそうですから、足元に気を付けてください。	Trời có vẻ sắp mưa nên hãy cẩn thận dưới chân nhé.	9	Dekiru Nihongo Sơ Trung Cấp
106	明日仕事がありますから、今日は酔っ払わないようにしてください。	明日仕事がありますから、今日は酔（よ）っ払（ぱら）わないようにしてください。	Vì mai có việc nên hôm nay đừng uống say nhé.	9	Dekiru Nihongo Sơ Trung Cấp
107	時間があるなら、家でゆっくり過ごせばいいですよ。	時間があるなら、家でゆっくり過ごせばいいですよ。	Nếu có thời gian thì cứ ở nhà nghỉ ngơi thong thả là được.	9	Dekiru Nihongo Sơ Trung Cấp
108	朝、イヌさんが庭を掃きそうです。	朝、イヌさんが庭（にわ）を掃（は）きそうです。	Buổi sáng anh Inu có vẻ sắp quét sân.	9	Dekiru Nihongo Sơ Trung Cấp
109	来週、大学の先生に会いに行くことになっています。	来週、大学の先生に会いに行くことになっています。	Theo kế hoạch thì tuần sau tôi sẽ đi gặp thầy giáo trường đại học.	9	Dekiru Nihongo Sơ Trung Cấp
110	次のお客様が座れるように、すぐ片づけます。	次のお客様が座（すわ）れるように、すぐ片づけます。	Tôi sẽ dọn dẹp ngay bây giờ để vị khách tiếp theo có thể ngồi vào.	9	Dekiru Nihongo Sơ Trung Cấp
111	仕事が全部終われば、帰れます。	仕事が全部終われば、帰れます。	Nếu công việc xong xuôi hết thì có thể đi về được rồi.	9	Dekiru Nihongo Sơ Trung Cấp
112	疲れすぎましたが、少し休憩すれば、元気になります。	疲（つか）れすぎましたが、少し休憩（きゅうけい）すれば、元気になります。	Mệt lử cả người rồi nhưng nghỉ ngơi một chút là lại khỏe ngay thôi.	9	Dekiru Nihongo Sơ Trung Cấp
113	明日、暇なら、手伝ってください。	明日、暇（ひま）なら、手伝ってください。	Ngày mai nếu rảnh thì phụ tôi một tay nhé.	9	Dekiru Nihongo Sơ Trung Cấp
114	あっ、お皿が落ちそうですよ。	あっ、お皿（さら）が落ちそうですよ。	Ôi, cái đĩa sắp rơi kìa!	9	Dekiru Nihongo Sơ Trung Cấp
115	キツネさん、肉が焦げそうですよ。火を弱くしたほうがいいです。	キツネさん、肉が焦（こ）げそうですよ。火を弱くしたほうがいいです。	Anh Kitsune ơi, thịt sắp cháy rồi kìa. Nên vặn nhỏ lửa lại đi ạ.	9	Dekiru Nihongo Sơ Trung Cấp
116	ネコさん、店のことをご説明するので、こちらへどうぞ。店へ来たら、まず制服に着替えることになっています。	ネコさん、店のことをご説明するので、こちらへどうぞ。店へ来たら、まず制服（せいふく）に着替（きが）えることになっています。	Anh Neko ơi, tôi hướng dẫn qua về cửa hàng nên mời anh đi hướng này. Khi đến cửa hàng, quy định đầu tiên là phải thay đồng phục nhé.	9	Dekiru Nihongo Sơ Trung Cấp
117	メニューはできるだけ早く覚えてください。メニューが覚えられなければ、ホールで働けませんから。	メニューはできるだけ早く覚えてください。メニューが覚えられなければ、ホールで働けませんから。	Hãy cố gắng nhớ thực đơn càng sớm càng tốt nhé. Vì nếu không nhớ được thực đơn thì không làm việc ở sảnh được đâu.	9	Dekiru Nihongo Sơ Trung Cấp
118	わからないことがあれば、自分で決めてはいけないことになっています。キツネさんに聞くようにしてください。	わからないことがあれば、自分で決めてはいけないことになっています。キツネさんに聞くようにしてください。	Nếu có điều gì không hiểu, theo quy định là không được tự ý quyết định đâu nhé. Hãy chú ý hỏi anh Kitsune đấy.	9	Dekiru Nihongo Sơ Trung Cấp
119	モップが倒れそうです。危ないですから、隅に置くようにしてください。	モップが倒（たお）れそうです。危ないですから、隅（すみ）に置くようにしてください。	Cây lau nhà sắp đổ rồi kìa. Nguy hiểm lắm nên hãy chú ý cất nó vào góc nhé.	9	Dekiru Nihongo Sơ Trung Cấp
120	イヌ先生、学生たちの前にタバコを吸ってはいけないことになっていますよ。煙草を吸いたければ、屋上で吸ってください。	イヌ先生、学生たちの前にタバコを吸ってはいけないことになっていますよ。煙草（たばこ）を吸いたければ、屋上で吸ってください。	Thầy Inu ơi, quy định là không được hút thuốc trước mặt học viên đâu đấy nhé. Nếu muốn hút thuốc thì hãy lên sân thượng ạ.	9	Dekiru Nihongo Sơ Trung Cấp
121	ちょっと待ってください。今、この不具合を修正してしまいます。	ちょっと待ってください。今、この不具合を修正（しゅうせい）してしまいます。	Chờ tôi một chút nhé. Bây giờ tôi xử lý nốt lỗi này cái đã.	9	Dekiru Nihongo Sơ Trung Cấp
122	お忙しいところ申し訳ありませんが、こちらの対応が遅れないように、５月７日にお送りしたメールをできるだけ早くご確認ください。 	お忙（いそが）しいところ申し訳（もうしわけ）ありませんが、こちらの対応（たいおう）が遅れないように、５月７日にお送りしたメールをできるだけ早く確認（かくにん）ください。 	Xin lỗi vì đã làm phiền lúc anh/chị đang bận, nhưng để việc xử lý không bị chậm trễ, xin vui lòng kiểm tra lại email tôi đã gửi vào ngày 7 tháng 5 càng sớm càng tốt ạ.	9	Dekiru Nihongo Sơ Trung Cấp
123	いらっしゃいませ。お客様、ただいま空いている席がないので、こちらの椅子におかけください。席が空いたら、すぐにご案内します。	いらっしゃいませ。お客様、ただいま空いている席がないので、こちらの椅子（いす）におかけください。席が空いたら、すぐにご案内（あんない）します。	Xin chào quý khách. Quý khách ơi, hiện tại không còn bàn trống nào nên xin vui lòng ngồi chờ ở chiếc ghế này ạ. Ngay khi có chỗ trống, tôi sẽ hướng dẫn quý khách vào ngay.	9	Dekiru Nihongo Sơ Trung Cấp
124	今度、交流会で国の観光地を紹介することになっているので、準備をしなければなりません。	今度、交流会（こうりゅうかい）で国の観光地（かんこうち）を紹介（しょうかい）することになっているので、準備（じゅんび）をしなければなりません。	Lần này, theo kế hoạch tôi sẽ giới thiệu về danh lam thắng cảnh của nước mình tại buổi giao lưu nên phải chuẩn bị thôi.	9	Dekiru Nihongo Sơ Trung Cấp
125	使う必要があるかどうかまだ決めていないので、そのままにしてください。	使う必要があるかどうかまだ決めていないので、そのままにしてください。	Vì tôi vẫn chưa quyết định là có cần dùng đến hay không nên cứ để nguyên như vậy nhé.	9	Dekiru Nihongo Sơ Trung Cấp
