STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
29	ネコさんの趣味は絵とジョギングじゃありませんか。	ネコさんの趣味（しゅみ）は絵（え）とジョギングじゃありませんか。	Sở thích của anh Neko không phải là hội họa và chạy bộ phải không?	5	Nhà của Cáo N5
30	私の趣味は漫画とゴルフじゃありません.	私（わたし）の趣味（しゅみ）は漫画（まんが）とゴルフじゃありません。	Sở thích của tôi không phải là truyện tranh và golf.	5	Nhà của Cáo N5
31	ネコさんの趣味はアニメとカラオケですか。	ネコさんの趣味（しゅみ）はアニメとカラオケですか。	Sở thích của anh Neko là anime và karaoke phải không?	5	Nhà của Cáo N5
32	ネコさんの趣味もゲームと水泳ですか。	ネコさんの趣味（しゅみ）もゲームと水泳（すいえい）ですか。	Sở thích của anh Neko cũng là trò chơi điện tử và bơi lội phải không?	5	Nhà của Cáo N5
33	私の趣味は映画とスキーじゃありません。	私（わたし）の趣味（しゅみ）は映画（えいが）とスキーじゃありません。	Sở thích của tôi không phải là phim ảnh và trượt tuyết.	5	Nhà của Cáo N5
34	そうですか。私の趣味も料理です。	そうですか。私（わたし）の趣味（しゅみ）も料理（りょうり）です。	Vậy à? Sở thích của tôi cũng là nấu ăn.	5	Nhà của Cáo N5
35	私の趣味もダンスです。同じですね。	私（わたし）の趣味（しゅみ）もダンスです。同（おな）じですね。	Sở thích của tôi cũng là khiêu vũ. Giống nhau nhỉ.	5	Nhà của Cáo N5
36	そうですか。イヌさんの趣味も映画です.	そうですか。イヌさんの趣味（しゅみ）も映画（えいが）です。	Vậy à? Sở thích của anh Inu cũng là phim ảnh.	5	Nhà của Cáo N5
37	そうですか。キツネさんの趣味もアニメと料理です。	そうですか。キツネさんの趣味（しゅみ）もアニメと料理（りょうり）です。	Vậy à? Sở thích của anh Kitsune cũng là anime và nấu ăn.	5	Nhà của Cáo N5
38	そうですか。ネコさんの趣味も絵です。	そうですか。ネコさんの趣味（しゅみ）も絵（え）です。	Vậy à? Sở thích của anh Neko cũng là hội họa.	5	Nhà của Cáo N5
39	私もデザインです。同じですね。	私（わたし）もデザインです。同（おな）じですね。	Tôi cũng làm thiết kế. Giống nhau nhỉ.	5	Nhà của Cáo N5
40	私の誕生日も３月です。同じですね。	私（わたし）の誕生日（たんじょうび）も３月（さんがつ）です。同（おな）じですね。	Sinh nhật của tôi cũng vào tháng 3. Giống nhau nhỉ.	5	Nhà của Cáo N5
41	私もベトナム人です。同じですね。	私（わたし）もベトナム人（じん）です。同（おな）じですね。	Tôi cũng là người Việt Nam. Giống nhau nhỉ.	5	Nhà của Cáo N5
42	ネコさんも日本人ですか。同じですね。	ネコさんも日本人（にほんじん）ですか。同（おな）じですね。	Anh Neko cũng là người Nhật phải không? Giống nhau nhỉ.	5	Nhà của Cáo N5
43	キツネさんも経営者ですか。同じですね。	キツネさんも経営者（けいえいしゃ）ですか。同（おな）じですね。	Anh Kitsune cũng là nhà kinh doanh phải không? Giống nhau nhỉ.	5	Nhà của Cáo N5
44	イヌさんの誕生日も１月ですか。同じですね。	イヌさんの誕生日（たんじょうび）も１月（いちがつ）ですか。同（おな）じですね.	Sinh nhật của anh Inu cũng vào tháng 1 phải không? Giống nhau nhỉ.	5	Nhà của Cáo N5
45	キツネさんの趣味もピアノと茶道じゃありません。	キツネさんの趣味（しゅみ）もピアノと茶道（さどう）じゃありません。	Sở thích của anh Kitsune cũng không phải là piano và trà đạo.	5	Nhà của Cáo N5
46	イヌさんの趣味は漫画とジョギングです。	イヌさんの趣味（しゅみ）は漫画（まんが）とジョギングです。	Sở thích của anh Inu là truyện tranh và chạy bộ.	5	Nhà của Cáo N5
47	イヌさんの趣味も柔道と水泳じゃありません。	イヌさんの趣味（しゅみ）も柔道（じゅうどう）と水泳（すいえい）じゃありません。	Sở thích của anh Inu cũng không phải là judo và bơi lội.	5	Nhà của Cáo N5
48	キツネさんの趣味は水泳と空手道じゃありません。	キツネさんの趣味（しゅみ）は水泳（すいえい）と空手道（からてどう）じゃありません。	Sở thích của anh Kitsune không phải là bơi lội và karate.	5	Nhà của Cáo N5
49	キツネさんの趣味は漫画とスキーです。	キツネさんの趣味（しゅみ）は漫画（まんが）とスキーです。	Sở thích của anh Kitsune là truyện tranh và trượt tuyết.	5	Nhà của Cáo N5
50	ネコさんの趣味は歌とジャズですか。	ネコさんの趣味（しゅみ）は歌（うた）とジャズですか。	Sở thích của anh Neko là hát và nhạc jazz phải không?	5	Nhà của Cáo N5
51	イヌさんの趣味もピアノとアニメです。	イヌさんの趣味（しゅみ）もピアノとアニメです。	Sở thích của anh Inu cũng là piano và anime.	5	Nhà của Cáo N5
52	ネコさんの趣味はジャズと写真です。	ネコさんの趣味（しゅみ）はジャズと写真（しゃしん）です。	Sở thích của anh Neko là nhạc jazz và nhiếp ảnh.	5	Nhà của Cáo N5
53	イヌさんの趣味もジョギングとアニメです。	イヌさんの趣味（しゅみ）もジョギングとアニメです。	Sở thích của anh Inu cũng là chạy bộ và anime.	5	Nhà của Cáo N5
54	キツネさんの趣味は釣りと映画じゃありません。	キツネさんの趣味（しゅみ）は釣（つ）りと映画（えいが）じゃありません.	Sở thích của anh Kitsune không phải là câu cá và phim ảnh.	5	Nhà của Cáo N5
55	イヌさんの趣味もテニスとカラオケじゃありませんか。	イヌさんの趣味（しゅみ）もテニスとカラオケじゃありませんか。	Sở thích của anh Inu cũng không phải là tennis và karaoke phải không?	5	Nhà của Cáo N5
56	イヌさんの趣味もロックと釣りじゃありません。	イヌさんの趣味（しゅみ）もロックと釣（つ）りじゃありません。	Sở thích của anh Inu cũng không phải là nhạc rock và câu cá.	5	Nhà của Cáo N5
57	イヌさんの趣味も漫画とゲームじゃありません。	イヌさんの趣味（しゅみ）も漫画（まんが）とゲームじゃありません。	Sở thích của anh Inu cũng không phải là truyện tranh và trò chơi điện tử.	5	Nhà của Cáo N5
58	キツネさんの趣味はジャズと漫画ですか。	キツネさんの趣味（しゅみ）はジャズと漫画（まんが）ですか。	Sở thích của anh Kitsune là nhạc jazz và truyện tranh phải không?	5	Nhà của Cáo N5
59	キツネさんの趣味も旅行とゴルフです。	キツネさんの趣味（しゅみ）も旅行（りょこう）とゴルフです。	Sở thích của anh Kitsune cũng là du lịch và golf.	5	Nhà của Cáo N5
60	ネコさんの趣味も音楽とジョギングじゃありませんか。	ネコさんの趣味（しゅみ）も音楽（おんがく）とジョギングじゃありませんか。	Sở thích của anh Neko cũng không phải là âm nhạc và chạy bộ phải không?	5	Nhà của Cáo N5
61	キツネさんの趣味も写真と生け花じゃありません。	キツネさんの趣味（しゅみ）も写真（しゃしん）と生（い）け花（ばな）じゃありません。	Sở thích của anh Kitsune cũng không phải là nhiếp ảnh và cắm hoa nghệ thuật.	5	Nhà của Cáo N5
62	ネコさんの趣味もカラオケとサッカーじゃありません。	ネコさんの趣味（しゅみ）もカラオケとサッカーじゃありません。	Sở thích của anh Neko cũng không phải là karaoke và bóng đá.	5	Nhà của Cáo N5
63	イヌさんの趣味はジャズと旅行じゃありません。	イヌさんの趣味（しゅみ）はジャズと旅行（りょこう）じゃありません。	Sở thích của anh Inu không phải là nhạc jazz và du lịch.	5	Nhà của Cáo N5
64	キツネさんの趣味もジョギングと読書じゃありません。	キツネさんの趣味（しゅみ）もジョギングと読書（どくしょ）じゃありません。	Sở thích của anh Kitsune cũng không phải là chạy bộ và đọc sách.	5	Nhà của Cáo N5
65	ネコさんの趣味はギターとゲームですか。	ネコさんの趣味（しゅみ）はギターとゲームですか.	Sở thích của anh Neko là guitar và trò chơi điện tử phải không?	5	Nhà của Cáo N5
66	イヌさんの趣味はダンスとスキーじゃありませんか。	イヌさんの趣味（しゅみ）はダンスとスキーじゃありませんか。	Sở thích của anh Inu không phải là khiêu vũ và trượt tuyết phải không?	5	Nhà của Cáo N5
67	キツネさんの趣味もギターとロックじゃありません。	キツネさんの趣味（しゅみ）もギターとロックじゃありません。	Sở thích của anh Kitsune cũng không phải là guitar và nhạc rock.	5	Nhà của Cáo N5
68	ネコさんの趣味は映画とゲームじゃありませんか。	ネコさんの趣味（しゅみ）は映画（えいが）とゲームじゃありませんか。	Sở thích của anh Neko không phải là phim ảnh và trò chơi điện tử phải không?	5	Nhà của Cáo N5
69	私の趣味もアニメと歌です。	私（わたし）の趣味（しゅみ）もアニメと歌（うた）です。	Sở thích của tôi cũng là anime và hát.	5	Nhà của Cáo N5
70	イヌさんの趣味も茶道とテニスです。	イヌさんの趣味（しゅみ）も茶道（さどう）とテニスです。	Sở thích của anh Inu cũng là trà đạo và tennis.	5	Nhà của Cáo N5
71	キツネさんの趣味はゴルフと歌です。	キツネさんの趣味（しゅみ）はゴルフと歌（うた）です。	Sở thích của anh Kitsune là golf và hát.	5	Nhà của Cáo N5
72	イヌさんの趣味は茶道と水泳です。	イヌさんの趣味（しゅみ）は茶道（さどう）と水泳（すいえい）です。	Sở thích của anh Inu là trà đạo và bơi lội.	5	Nhà của Cáo N5
73	私の趣味 भी 柔道とジャズじゃありません。	私（わたし）の趣味（しゅみ）も柔道（じゅうどう）とジャズじゃありません。	Sở thích của tôi cũng không phải là judo và nhạc jazz.	5	Nhà của Cáo N5
74	キツネさんの趣味はテニスとアニメです。	キツネさんの趣味（しゅみ）はテニスとアニメです。	Sở thích của anh Kitsune là tennis và anime.	5	Nhà của Cáo N5
75	ネコさんの趣味はギターとロックじゃありませんか。	ネコさんの趣味（しゅみ）はギターとロックじゃありませんか。	Sở thích của anh Neko không phải là guitar và nhạc rock phải không?	5	Nhà của Cáo N5
76	私の趣味も空手道と相撲です。	私（わたし）の趣味（しゅみ）も空手道（からてどう）と相撲（すもう）です。	Sở thích của tôi cũng là karate và sumo.	5	Nhà của Cáo N5
77	イヌさんの趣味はテニスとギターじゃありません.	イヌさんの趣味（しゅみ）はテニスとギターじゃありません。	Sở thích của anh Inu không phải là tennis và guitar.	5	Nhà của Cáo N5
78	ネコさんの趣味は相撲と料理じゃありませんか。	ネコさんの趣味（しゅみ）は相撲（すもう）と料理（りょうり）じゃありませんか。	Sở thích của anh Neko không phải là sumo và nấu ăn phải không?	5	Nhà của Cáo N5
79	ネコさんの趣味は写真とポップスです。	ネコさんの趣味（しゅみ）は写真（しゃしん）とポップスです。	Sở thích của anh Neko là nhiếp ảnh và nhạc pop.	5	Nhà của Cáo N5
80	イヌさんの趣味は相撲と音楽ですか。	イヌさんの趣味（しゅみ）は相撲（すもう）と音楽（おんがく）ですか。	Sở thích của anh Inu là sumo và âm nhạc phải không?	5	Nhà của Cáo N5
81	イヌさんの趣味は旅行とゲームじゃありません。	イヌさんの趣味（しゅみ）は旅行（りょこう）とゲームじゃありません。	Sở thích của anh Inu không phải là du lịch và trò chơi điện tử.	5	Nhà của Cáo N5
82	ネコさんの趣味もカラオケと釣りじゃありませんか。	ネコさんの趣味（しゅみ）もカラオケと釣（つ）りじゃありませんか.	Sở thích của anh Neko cũng không phải là karaoke và câu cá phải không?	5	Nhà của Cáo N5
83	キツネさんの趣味はジョギングと水泳じゃありません。	キツネさんの趣味（しゅみ）はジョギングと水泳（すいえい）じゃありません。	Sở thích của anh Kitsune không phải là chạy bộ và bơi lội.	5	Nhà của Cáo N5
84	私の趣味もダンスとスポーツじゃありません。	私（わたし）の趣味（しゅみ）もダンスとスポーツじゃありません。	Sở thích của tôi cũng không phải là khiêu vũ và thể thao.	5	Nhà của Cáo N5
85	キツネさんの趣味はロックと生け花じゃありません。	キツネさんの趣味（しゅみ）はロックと生（い）け花（ばな）じゃありません。	Sở thích của anh Kitsune không phải là nhạc rock và cắm hoa nghệ thuật.	5	Nhà của Cáo N5
86	私の趣味も野球と絵です。	私（わたし）の趣味（しゅみ）も野球（やきゅう）と絵（え）です。	Sở thích của tôi cũng là bóng chày và hội họa.	5	Nhà của Cáo N5
87	キツネさんの趣味もスポーツとジャズじゃありません。	キツネさんの趣味（しゅみ）もスポーツとジャズじゃありません。	Sở thích của anh Kitsune cũng không phải là thể thao và nhạc jazz.	5	Nhà của Cáo N5
88	ネコさんの趣味も水泳とロックじゃありませんか。	ネコさんの趣味（しゅみ）も水泳（すいえい）とロックじゃありませんか。	Sở thích của anh Neko cũng không phải là bơi lội và nhạc rock phải không?	5	Nhà của Cáo N5
89	ネコさんの趣味はサッカーとテニスじゃありません。	ネコさんの趣味（しゅみ）はサッカーとテニスじゃありません。	Sở thích của anh Neko không phải là bóng đá và tennis.	5	Nhà của Cáo N5
90	ネコさんの趣味は料理と空手道じゃありません。	ネコさんの趣味（しゅみ）は料理（りょうり）と空手道（からてどう）じゃありません。	Sở thích của anh Neko không phải là nấu ăn và karate.	5	Nhà của Cáo N5
91	イヌさんの趣味も写真と野球じゃありません。	イヌさんの趣味（しゅみ）も写真（しゃしん）と野球（やきゅう）じゃありません。	Sở thích của anh Inu cũng không phải là nhiếp ảnh và bóng chày.	5	Nhà của Cáo N5
92	キツネさんの趣味も柔道とテニスじゃありません。	キツネさんの趣味（しゅみ）も柔道（じゅうどう）とテニスじゃありません。	Sở thích của anh Kitsune cũng không phải là judo và tennis.	5	Nhà của Cáo N5
93	ネコさんの趣味は野球と生け花じゃありませんか。	ネコさんの趣味（しゅみ）は野球（やきゅう）と生（い）け花（ばな）じゃありませんか。	Sở thích của anh Neko không phải là bóng chày và cắm hoa nghệ thuật phải không?	5	Nhà của Cáo N5
94	私の趣味はスポーツとアニメじゃありません。	私（わたし）の趣味（しゅみ）はスポーツとアニメじゃありません。	Sở thích của tôi không phải là thể thao và anime.	5	Nhà của Cáo N5
95	イヌさんの趣味もアニメとスキーです。	イヌさんの趣味（しゅみ）もアニメとスキーです。	Sở thích của anh Inu cũng là anime và trượt tuyết.	5	Nhà của Cáo N5
96	キツネさんの趣味は釣りとゲームじゃありません。	キツネさんの趣味（しゅみ）は釣（つ）りとゲームじゃありません。	Sở thích của anh Kitsune không phải là câu cá và trò chơi điện tử.	5	Nhà của Cáo N5
97	イヌさんの趣味はピアノとスキーじゃありませんか。	イヌさんの趣味（しゅみ）はピアノとスキーじゃありませんか。	Sở thích của anh Inu không phải là piano và trượt tuyết phải không?	5	Nhà của Cáo N5
98	キツネさんの趣味もサッカーとジョギングじゃありません。	キツネさんの趣味（しゅみ）もサッカーとジョギングじゃありません。	Sở thích của anh Kitsune cũng không phải là bóng đá và chạy bộ.	5	Nhà của Cáo N5
99	ネコさんの趣味も絵と柔道です。	ネコさんの趣味（しゅみ）も絵（え）と柔道（じゅうどう）です。	Sở thích của anh Neko cũng là hội họa và judo.	5	Nhà của Cáo N5
100	ネコさんの趣味も歌とアニメです。	ネコさんの趣味（しゅみ）も歌（うた）とアニメです。	Sở thích của anh Neko cũng là hát và anime.	5	Nhà của Cáo N5
