STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
28	あのう	あのう	À	あのう、お名前は？\nÀ, tên bạn là gì?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
29	すみません	すみません	Xin lỗi	すみません、今何時ですか。\nXin lỗi, bây giờ là mấy giờ?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
30	あのう、すみません。	あのう、すみません	À, xin lỗi.	あのう、すみません。トイレはどこですか。\nÀ xin lỗi, nhà vệ sinh ở đâu ạ?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
31	そうですか	そうですか	Thế à	「私は20歳です」「そうですか」\nTôi 20 tuổi - Thế à.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
32	はい	はい	Vâng	はい、そうです。\nVâng, đúng vậy.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
33	いいえ	いいえ	Không	いいえ、違います。\nKhông, không phải.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
34	（お）誕生日	たんじょうび	Sinh nhật (khi dùng với người khác thì thêm お vào trước)	お誕生日はいつですか。\nSinh nhật bạn khi nào?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
35	ブラジル	ブラジル	Brazil	ブラジルから来ました。\nTôi đến từ Brazil.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
36	１月	いちがつ	Tháng 1	1月は寒いです。\nTháng 1 lạnh.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
37	２月	にがつ	Tháng 2	2月は雪が降ります。\nTháng 2 có tuyết rơi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
38	３月	さんがつ	Tháng 3	3月は春です。\nTháng 3 là mùa xuân.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
39	４月	しがつ	Tháng 4	4月に日本へ行きます。\nTôi sẽ đi Nhật vào tháng 4.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
40	５月	ごがつ	Tháng 5	5月は休みが多いです。\nTháng 5 có nhiều ngày nghỉ.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
41	６月	ろくがつ	Tháng 6	6月は雨の日が多いです。\nTháng 6 có nhiều ngày mưa.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
42	７月	しちがつ	Tháng 7	7月は夏休みです。\nTháng 7 là kỳ nghỉ hè.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
43	８月	はちがつ	Tháng 8	8月はとても暑いです。\nTháng 8 rất nóng.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
44	９月	くがつ	Tháng 9	9月は秋になります。\nTháng 9 sang thu.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
45	１０月	じゅうがつ	Tháng 10	10月は天気がいいです。\nTháng 10 thời tiết đẹp.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
46	１１月	じゅういちがつ	Tháng 11	11月に旅行します。\nTôi đi du lịch vào tháng 11.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
47	１２月	じゅうにがつ	Tháng 12	12月31日は大晦日です。\nNgày 31/12 là đêm giao thừa.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
48	１日	ついたち	Ngày 1	1月1日はお正月です。\nNgày 1/1 là Tết.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
49	２日	ふつか	Ngày 2	2日は日曜日です。\nNgày mùng 2 là Chủ nhật.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
50	３日	みっか	Ngày 3	3日はひな祭りです。\nNgày mùng 3 là lễ hội búp bê.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
51	４日	よっか	Ngày 4	5月4日はみどりの日です。\nNgày 4/5 là ngày vì màu xanh.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
52	５日	いつか	Ngày 5	5月5日は子供の日です。\nNgày 5/5 là ngày thiếu nhi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
53	６日	むいか	Ngày 6	6日は私の誕生日です。\nNgày mùng 6 là sinh nhật tôi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
54	７日	なのか	Ngày 7	7月7日は七夕です。\nNgày 7/7 là lễ Thất tịch.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
55	８日	ようか	Ngày 8	8日は会議があります。\nNgày mùng 8 có cuộc họp.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
56	９日	ここのか	Ngày 9	9日は友達と遊びます。\nNgày mùng 9 tôi đi chơi với bạn.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
57	１０日	とおか	Ngày 10	10日は給料日です。\nNgày mùng 10 là ngày nhận lương.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
58	１１日	じゅういちにち	Ngày 11	11日に帰国します。\nTôi về nước vào ngày 11.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
59	１２日	じゅうににち	Ngày 12	12日はパーティーです。\nNgày 12 có tiệc.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
60	１３日	じゅうさんにち	Ngày 13	13日は金曜日です。\nNgày 13 là Thứ sáu.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
61	１４日	じゅうよっか	Ngày 14	2月14日はバレンタインです。\n14/2 là Valentine.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
62	１５日	じゅうごにち	Ngày 15	15日は月の真ん中です。\nNgày 15 là giữa tháng.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
63	１６日	じゅうろくにち	Ngày 16	16日はテストがあります。\nNgày 16 có bài kiểm tra.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
64	１７日	じゅうしちにち / じゅうななにち	Ngày 17	17日は母の誕生日です。\nNgày 17 là sinh nhật mẹ.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
65	１８日	じゅうはちにち	Ngày 18	18日に買い物に行きます。\nĐi mua sắm vào ngày 18.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
66	１９日	じゅうくにち	Ngày 19	19日は忙しいです。\nNgày 19 bận rộn.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
67	２０日	はつか	Ngày 20	20日は成人式です。\nNgày 20 là lễ trưởng thành - ví dụ.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
68	２１日	にじゅういちにち	Ngày 21	21日に本を返します。\nTrả sách vào ngày 21.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
69	２２日	にじゅうににち	Ngày 22	22日は猫の日です。\nNgày 22 là ngày của mèo.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
70	２３日	にじゅうさんにち	Ngày 23	23日は天皇誕生日です。\nNgày 23 là sinh nhật Nhật hoàng.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
71	２４日	にじゅうよっか	Ngày 24	24日はクリスマスイブです。\nNgày 24 là đêm Noel.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
72	２５日	にじゅうごにち	Ngày 25	12月25日はクリスマスです。\n25/12 là Giáng sinh.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
73	２６日	にじゅうろくにち	Ngày 26	26日にレポートを出します。\nNộp báo cáo vào ngày 26.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
74	２７日	にじゅうしちにち / にじゅうななにち	Ngày 27	27日は日曜日です。\nNgày 27 là Chủ nhật.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
75	２８日	にじゅうはちにち	Ngày 28	2月は28日までです。\nTháng 2 có đến ngày 28.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
76	２９日	にじゅうくにち	Ngày 29	4年に一度、29日があります。\n4 năm một lần có ngày 29.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
77	３０日	さんじゅうにち	Ngày 30	4月は30日まであります。\nTháng 4 có đến ngày 30.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
78	３１日	さんじゅういちにち	Ngày 31	12月31日は今年最後の日です。\n31/12 là ngày cuối cùng của năm.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
79	１才	いっさい	1 tuổi	子供は1才です。\nĐứa bé 1 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
80	２才	にさい	2 tuổi	犬は2才です。\nCon chó 2 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
81	３才	さんさい	3 tuổi	3才から学校に行きます。\nĐi học từ lúc 3 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
82	４才	よんさい	4 tuổi	弟は4才です。\nEm trai 4 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
83	５才	ごさい	5 tuổi	妹は5才です。\nEm gái 5 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
84	６才	ろくさい	6 tuổi	6才で小学校に入ります。\nVào tiểu học lúc 6 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
85	７才	ななさい	7 tuổi	七五三は7才、5才、3才の祝いです。\nShichigosan là lễ mừng trẻ 7, 5, 3 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
86	８才	はっさい	8 tuổi	息子は8才です。\nCon trai tôi 8 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
87	９才	きゅうさい	9 tuổi	娘は9才です。\nCon gái tôi 9 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
88	１０才	じゅっさい	10 tuổi	10才は1/2成人式です。\n10 tuổi là lễ trưởng thành một nửa.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
89	１１才	じゅういっさい	11 tuổi	姉の子供は11才です。\nCon chị tôi 11 tuổi.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
90	１２才	じゅうにさい	12 tuổi	12才は小学6年生です。\n12 tuổi là học sinh lớp 6.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
91	２０才	はたち / にじゅっさい	20 tuổi	20才でお酒が飲めます。\n20 tuổi là được uống rượu.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
92	何才	なんさい / いくつ	Mấy tuổi	お子さんは何才ですか。\nCon bạn mấy tuổi rồi?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
93	いつ	いつ	Bao giờ	いつ日本へ行きますか。\nBao giờ bạn đi Nhật?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
94	趣味	しゅみ	Sở thích	私の趣味は音楽です。\nSở thích của tôi là âm nhạc.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
95	スポーツ	スポーツ	Thể thao	スポーツをしますか。\nBạn có chơi thể thao không?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
96	サッカー	サッカー	Bóng đá	サッカーが好きです。\nTôi thích bóng đá.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
97	テニス	テニス	Quần vợt	テニスを練習します。\nLuyện tập tennis.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
98	水泳	すいえい	Bơi	趣味は水泳です。\nSở thích là bơi lội.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
99	映画	えいが	Điện ảnh	映画を見に行きましょう。\nCùng đi xem phim nào.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
100	音楽	おんがく	Âm nhạc	毎日、音楽を聞きます。\nMỗi ngày tôi đều nghe nhạc.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
101	読書	どくしょ	Đọc sách	秋は読書の季節です。\nMùa thu là mùa đọc sách.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
102	旅行	りょこう	Du lịch	来月、旅行に行きます。\nTháng sau tôi đi du lịch.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
103	料理	りょうり	Nấu ăn	料理を作るのが好きです。\nTôi thích nấu ăn.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
