STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
18	生産する	せいさんする	Sản xuất	この工場では、最新のカメラが生産されています。\nỞ nhà máy này, người ta đang sản xuất những chiếc máy ảnh mới nhất.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
19	重い	おもい	Nặng	このかばんは重すぎて、持ちにくいです。\nCái túi này nặng quá, khó cầm quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
20	軽い	かるい	Nhẹ	この靴は軽くて、とても走りやすいです。\nĐôi giày này nhẹ nên rất dễ chạy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
21	ちょうどいい	ちょうどいい	Vừa vặn	このセーターはサイズがちょうどいいです。\nCái áo len này kích cỡ rất vừa vặn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
22	丈夫（な）	じょうぶ（な）	Chắc chắn, bền	このかばんは丈夫そうで、長く使えそうですね。\nCái túi này trông có vẻ chắc chắn, chắc là dùng được lâu đây.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
23	もっと	もっと	Hơn nữa	もっと大きいかばんが欲しいです。\nTôi muốn một chiếc túi lớn hơn nữa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
24	もっと大きいかばんが欲しいです。	もっとおおきいかばんがほしいです。	Tôi muốn một chiếc túi lớn hơn nữa.	イヌさん、もっと大きいかばんを貸してもらえませんか？\nAnh Inu cho tôi mượn cái túi to hơn được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
25	ちょっと	ちょっと	Một chút	このズボンはちょっと長すぎます。\nCái quần này hơi bị dài quá rồi.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
26	いかがですか。	いかがですか。	Như thế nào? (lịch sự)	ネコさん、こちらのコーヒーはいかがですか？\nChị Neko dùng thử cafe này thấy thế nào?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
27	かしこまりました。	かしこまりました	Tôi đã hiểu (lịch sự)	かしこまりました。すぐにお持ちします。\nTôi đã rõ. Tôi sẽ mang đến ngay ạ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
28	厳しい	きびしい	Nghiêm khắc	キツネさんの先生は厳しそうです。\nThầy giáo của anh Kitsune trông có vẻ nghiêm khắc nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
29	恥ずかしい	はずかしい	Xấu hổ, ngại	間違えてしまって、とても恥ずかしかったです。\nVì nhầm lẫn nên tôi đã thấy rất xấu hổ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
30	壁	かべ	Bức tường	壁に世界地図が貼ってあります。\nTrên tường có dán một bản đồ thế giới.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
31	カレンダー	カレンダー	Tờ lịch	カレンダーに予定が書いてあります。\nTrên lịch có viết các dự định/kế hoạch.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
32	世界地図	せかいちず	Bản đồ thế giới	壁に世界地図が貼ってありますよ。\nTrên tường có dán sẵn bản đồ thế giới đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
33	最新	さいしん	Mới nhất	最新のスマホを使ってみました。\nTôi đã dùng thử chiếc điện thoại mới nhất.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
34	飲み放題	のみほうだい	Uống thoải mái (buffet nước)	この店は飲み放題があって、とてもお得ですね。\nQuán này có buffet nước nên hời quá nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
35	両替	りょうがえ	Đổi tiền	ここで両替をしてもらえませんか？\nBạn đổi tiền giúp tôi ở đây được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
36	期間	きかん	Khoảng thời gian	期間が短すぎて、終わりそうにありません。\nThời gian ngắn quá, chắc không xong nổi rồi.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
37	限定	げんてい	Giới hạn	このケーキは期間限定だそうですよ。\nNghe nói bánh này là hàng giới hạn theo mùa đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
38	期間限定	きかんげんてい	Giới hạn thời gian	期間限定のアイスを食べてみました。\nTôi đã ăn thử kem giới hạn thời gian rồi.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
39	セット	セット	Suất, bộ	Aセットにします。飲み物も付いていますか？\nTôi chọn suất A. Có kèm đồ uống không vậy?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
40	フロアガイド	フロアガイド	Sơ đồ tầng	フロアガイドに店の場所が書いてあります。\nTrên sơ đồ tầng có viết vị trí của cửa hàng.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
41	意味	いみ	Ý nghĩa	この漢字はどういう意味ですか？\nChữ Hán này có nghĩa là gì vậy?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
42	営業中	えいぎょうちゅう	Đang mở cửa	ドアに「営業中」と書いてあります。\nTrên cửa có viết là "Đang mở cửa".	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
43	大盛り	おおもり	Suất lớn	私は牛丼の大盛りにします。\nTôi chọn suất cơm thịt bò tô lớn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
44	おかわり	おかわり	Thêm bát nữa	美味しすぎて、おかわりをしました。\nNgon quá nên tôi đã ăn thêm bát nữa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
45	送料	そうりょう	Phí vận chuyển	送料が高すぎて、買うのをやめました。\nPhí ship đắt quá nên tôi không mua nữa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
46	タイムサービス	タイムサービス	Giờ vàng giảm giá	タイムサービスで安くなっていますよ。\nĐang giờ vàng nên được giảm giá đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
47	定休日	ていきゅうび	Ngày nghỉ định kỳ	カレンダーに定休日が書いてあります。\nTrên lịch có ghi ngày nghỉ định kỳ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
48	本日	ほんじつ	Hôm nay (lịch sự)	本日は定休日だと書いてあります。\nNgười ta viết là hôm nay nghỉ định kỳ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
49	半額	はんがく	Nửa giá	このパンは半額で、とてもお得です。\nCái bánh mì này nửa giá, rẻ thật đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
50	レディースデー	レディースデー	Ngày cho phụ nữ	今日はレディースデーなので、安くなります。\nHôm nay là ngày phụ nữ nên sẽ được rẻ hơn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
51	量	りょう	Lượng	この料理は量が多すぎて、食べられません。\nMón này lượng nhiều quá, tôi không ăn hết được.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
52	親子丼	おおこどん	Cơm gà trứng	親子丼にします。美味しそうですね。\nTôi chọn Oyakodon. Trông ngon quá nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
53	牛丼	ぎゅうどん	Cơm thịt bò	牛丼の大盛りを注文しました。\nTôi đã gọi một suất cơm thịt bò tô lớn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
54	サンドイッチ	サンドイッチ	Bánh mì sandwich	このサンドイッチは食べやすそうです。\nCái sandwich này trông có vẻ dễ ăn nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
55	ソース	ソース	Nước sốt	ソースをかけて食べると美味しいですよ。\nRưới thêm nước sốt vào ăn sẽ ngon lắm đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
56	～券	～けん	Vé, phiếu	受付でチケット券を渡してもらえませんか？\nBạn đưa giúp tôi cái vé ở quầy lễ tân được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
57	割引券	わりびきけん	Phiếu giảm giá	割引券を使って、安く買いました。\nTôi đã dùng phiếu giảm giá để mua được rẻ hơn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
58	かける	かける	Rưới, treo, đeo	料理にソースをかけてみます。\nTôi sẽ rưới thử nước sốt vào món ăn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
59	貼る	はる	Dán	壁にポスターが貼ってあります。\nTrên tường có dán sẵn một tấm áp phích.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
60	注文する	ちゅうもんする	Gọi món, đặt hàng	すみません、注文してもいいですか？\nXin lỗi, tôi gọi món được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
61	割引する	わりびきする	Giảm giá	もっと割引してもらえませんか？\nBạn có thể giảm giá thêm cho tôi được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
62	得（な）	とく（な）	Có hời, giá hời	半額で買えたので、とても得をしました。\nMua được giá nửa tiền nên hời quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
63	特別（な）	とくべつ（な）	Đặc biệt	今日は特別な料理を注文してみました。\nHôm nay tôi đã gọi thử một món ăn đặc biệt.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
64	どういう～	どういう～	... như thế nào?	「禁煙」はどういう意味ですか？\n"Kinen" có nghĩa là gì vậy?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
65	もう	もう	Đã, rồi	もうお腹がいっぱいすぎて、食べられません。\nTôi đã quá no rồi, không thể ăn thêm được nữa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
66	禁煙	きんえん	Cấm hút thuốc	ここに「禁煙」と書いてありますよ。\nỞ đây có viết là "Cấm hút thuốc" đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
67	立ち入り禁止	たちいりきんし	Cấm vào	あそこに「立ち入り禁止」と書いてあります。\nĐằng kia có viết là "Cấm vào".	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
68	つける	つける	Chấm (nước sốt), bật (điện)	しょうゆをつけて食べてみてください。\nBạn hãy chấm nước tương rồi ăn thử xem.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
69	デザート	デザート	Món tráng miệng	デザートはアイスクリームにします。\nMón tráng miệng tôi chọn kem.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
70	ダイヤ	ダイヤ	Kim cương	そのダイヤの指輪、高そうですね。\nChiếc nhẫn kim cương đó trông có vẻ đắt nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
71	嬉しい	うれしい	Vui mừng	プレゼントをもらって、とても嬉しいです。\nĐược nhận quà nên tôi thấy rất vui.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
72	ワンピース	ワンピース	Váy liền	このワンピース、可愛くて着やすそうですね。\nCái váy này dễ thương và trông có vẻ dễ mặc nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
73	ワイシャツ	ワイシャツ	Áo sơ mi	白いワイシャツを洗濯してもらえませんか？\nBạn giặt giúp tôi cái áo sơ mi trắng được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
74	ポロシャツ	ポロシャツ	Áo thun có cổ	このポロシャツは洗濯しやすいです。\nCái áo thun này rất dễ giặt.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
75	ショートパンツ	ショートパンツ	Quần short	夏はショートパンツの方が過ごしやすいです。\nMùa hè mặc quần short thì thoải mái hơn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
76	パンツ	パンツ	Quần dài/Quần lót	このパンツは少し長すぎます。\nCái quần này hơi bị dài quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
77	カーディガン	カーディガン	Áo khoác len	寒そうですね。カーディガンを貸しましょうか？\nTrông có vẻ lạnh nhỉ. Tôi cho bạn mượn áo khoác len nhé?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
78	袖	そで	Tay áo	この服は袖が長すぎて、仕事がしにくいです。\nCái áo này tay dài quá, khó làm việc quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
79	長袖	ながそで	Tay dài	今日は寒いので、長袖にします。\nHôm nay trời lạnh nên tôi chọn áo tay dài.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
80	半袖	はんそで	Tay ngắn	夏は半袖の方が動きやすいです。\nMùa hè thì mặc áo tay ngắn dễ vận động hơn.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
81	襟	えり	Cổ áo	襟に汚れがついていますよ。\nTrên cổ áo có vết bẩn kìa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
82	次	つぎ	Tiếp theo	次の講義はいつですか？\nBài giảng tiếp theo là khi nào vậy?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
83	植える	うえる	Trồng (cây)	庭に花が植えてあります。\nTrong vườn có trồng sẵn hoa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
84	掲示板	けいじばん	Bảng tin	掲示板にテストの時間が書いてあります。\nTrên bảng tin có viết thời gian thi.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
85	お徳	おとく	Giá rẻ, hời	このセットは安くて、とてもお徳ですよ。\nSet này rẻ, hời lắm đấy.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
