STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
54	1419円	1419円	1419 yên	3	Nhà của Cáo N5
55	1938円	1938円	1938 yên	3	Nhà của Cáo N5
56	5410円	5410円	5410 yên	3	Nhà của Cáo N5
57	5510円	5510円	5510 yên	3	Nhà của Cáo N5
58	3004円	3004円	3004 yên	3	Nhà của Cáo N5
59	1120円	1120円	1120 yên	3	Nhà của Cáo N5
60	8300円	8300円	8300 yên	3	Nhà của Cáo N5
61	30354円	30354円	30354 yên	3	Nhà của Cáo N5
62	93785円	93785円	93785 yên	3	Nhà của Cáo N5
63	74273円	74273円	74273 yên	3	Nhà của Cáo N5
64	85093円	85093円	85093 yên	3	Nhà của Cáo N5
65	71957円	71957円	71957 yên	3	Nhà của Cáo N5
66	77376円	77376円	77376 yên	3	Nhà của Cáo N5
67	88854円	88854円	88854 yên	3	Nhà của Cáo N5
68	13897円	13897円	13897 yên	3	Nhà của Cáo N5
69	32729円	32729円	32729 yên	3	Nhà của Cáo N5
70	43370円	43370円	43370 yên	3	Nhà của Cáo N5
71	56657円	56657円	56657 yên	3	Nhà của Cáo N5
72	19730円	19730円	19730 yên	3	Nhà của Cáo N5
73	34248円	34248円	34248 yên	3	Nhà của Cáo N5
74	63702円	63702円	63702 yên	3	Nhà của Cáo N5
75	75876円	75876円	75876 yên	3	Nhà của Cáo N5
76	45580円	45580円	45580 yên	3	Nhà của Cáo N5
77	52645円	52645円	52645 yên	3	Nhà của Cáo N5
78	45389円	45389円	45389 yên	3	Nhà của Cáo N5
79	83677円	83677円	83677 yên	3	Nhà của Cáo N5
80	77980円	77980円	77980 yên	3	Nhà của Cáo N5
81	183860円	183860円	183860 yên	3	Nhà của Cáo N5
82	264330円	264330円	264330 yên	3	Nhà của Cáo N5
83	163495円	163495円	163495 yên	3	Nhà của Cáo N5
84	247721円	247721円	247721 yên	3	Nhà của Cáo N5
85	495805円	495805円	495805 yên	3	Nhà của Cáo N5
86	468710円	468710円	468710 yên	3	Nhà của Cáo N5
87	706152円	706152円	706152 yên	3	Nhà của Cáo N5
88	935754円	935754円	935754 yên	3	Nhà của Cáo N5
89	659750円	659750円	659750 yên	3	Nhà của Cáo N5
90	937269円	937269円	937269 yên	3	Nhà của Cáo N5
91	976075円	976075円	976075 yên	3	Nhà của Cáo N5
92	585115円	585115円	585115 yên	3	Nhà của Cáo N5
93	686398円	686398円	686398 yên	3	Nhà của Cáo N5
94	211195円	211195円	211195 yên	3	Nhà của Cáo N5
95	106190円	106190円	106190 yên	3	Nhà của Cáo N5
96	394622円	394622円	394622 yên	3	Nhà của Cáo N5
97	633220円	633220円	633220 yên	3	Nhà của Cáo N5
98	855109円	855109円	855109 yên	3	Nhà của Cáo N5
99	663766円	663766円	663766 yên	3	Nhà của Cáo N5
100	826826円	826826円	826826 yên	3	Nhà của Cáo N5
