STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Tên Giáo Trình
12	よこす	よこす	Gửi đến, đưa đến (thường dùng với người ngang hàng hoặc thấp hơn)	キツネさんが連絡をよこしたのを皮切りに、次々と仲間が集まってきた。\nBắt đầu từ việc anh Kitsune gửi liên lạc tới, bạn bè đã lần lượt tụ họp đông đủ.	1	Hajimete N1
13	女房	にょうぼう	Vợ (cách gọi thân mật, hơi cũ của người chồng)	愛する女房の頼みとあって、イヌさんは疲れているにもかかわらず買い物に出かけた。\nVì là yêu cầu của cô vợ yêu quý, anh Inu dù đang mệt vẫn ra ngoài đi mua đồ.	1	Hajimete N1
14	家内	かない	Vợ tôi (cách nói khiêm tốn khi nói về vợ mình với người ngoài)	家内の料理は、盛り付けからしてプロ級なんです。\nCơm vợ tôi nấu thì ngay từ cách trình bày thôi đã trông như chuyên nghiệp rồi.	1	Hajimete N1
15	亭主	ていしゅ	Chồng (cách gọi của người vợ)	ネコさんの亭主ならではの気遣いに、周囲の人も感心している。\nSự quan tâm chu đáo đúng kiểu của chồng anh Neko khiến những người xung quanh cũng phải ngưỡng mộ.	1	Hajimete N1
16	亭主関白	ていしゅかんぱく	Người chồng gia trưởng	亭主関白なキツネさんにもまして、奥さんの方が実は権力を握っている。\nHơn cả một "ông chồng gia trưởng" như anh Kitsune, thực tế chị vợ mới là người nắm quyền lực.	1	Hajimete N1
17	旦那	だんな	Chồng, ông xã	旦那様のお帰りだというので、イヌさんは玄関の掃除に至るまで完璧に済ませた。\nVì là lúc chồng về, anh Inu đã hoàn tất mọi việc hoàn hảo cho đến tận khâu quét dọn cửa vào.	1	Hajimete N1
18	主人	しゅじん	Chồng tôi (cách nói khiêm tốn khi nói về chồng mình với người ngoài)	主人の昇進祝いとあって、今夜は豪華なディナーを用意した。\nVì là tiệc mừng chồng thăng chức nên tối nay tôi đã chuẩn bị một bữa tối thật thịnh soạn.	1	Hajimete N1
19	温もり	ぬくもり	Sự ấm áp (cả nghĩa đen và bóng)	この家には、ネコさん家族ならではの温もりがある。\nTrong ngôi nhà này có sự ấm áp riêng biệt mà chỉ gia đình anh Neko mới có.	1	Hajimete N1
20	温かみ	あたたかみ	Sự ấm áp, ấm cúng (thiên về cảm giác, tình cảm)	キツネさんの言葉には、優しさにもまして人としての温かみがある。\nTrong lời nói của anh Kitsune, hơn cả sự dịu dàng còn có sự ấm áp của tình người.	1	Hajimete N1
21	授かる	さずかる	Được ban cho, có được (con cái, tài năng)	子宝を授かったのを皮切りに、イヌさんの生活は一変した。\nKể từ khi được ban cho đứa con, cuộc sống của anh Inu đã thay đổi hoàn toàn.	1	Hajimete N1
22	授ける	さずける	Ban cho, trao tặng (thường từ người trên cho người dưới)	ネコさんは長年の経験からして、後輩に知恵を授けるのにふさわしい人物だ。\nXét từ kinh nghiệm nhiều năm, anh Neko là nhân vật phù hợp để truyền thụ trí tuệ cho đàn em.	1	Hajimete N1
23	名付ける	なづける	Đặt tên	初孫の誕生とあって、キツネさんは一生懸命に名前を考え、ついに「太郎」と名付けた。\nVì là cháu đầu lòng chào đời, anh Kitsune đã dốc hết sức suy nghĩ và cuối cùng đặt tên là "Taro".	1	Hajimete N1
24	名付け親	なづけおや	Cha/mẹ đỡ đầu (người đặt tên)	イヌさんは親友の子供の名付け親にもまして、その子の成長を心から喜んでいる。\nHơn cả vai trò là người đặt tên, anh Inu thực tâm vui mừng cho sự trưởng thành của đứa trẻ đó.	1	Hajimete N1
25	命名する	めいめいする	Đặt tên, mệnh danh (cách nói trang trọng hơn 名付ける)	新種の植物の発見を皮切りに、ネコさんはそれを「ネコ草」と命名した。\nSau khi phát hiện ra loài thực vật mới, anh Neko đã đặt tên cho nó là "Cỏ Neko".	1	Hajimete N1
26	すやすや	すやすや	(Ngủ) ngon lành, say sưa (thường dùng cho trẻ em)	赤ん坊の寝顔からして、すやすやと気持ちよさそうに眠っているのがわかる。\nNhìn gương mặt em bé là biết ngay nó đang ngủ say sưa, ngon lành thế nào.	1	Hajimete N1
27	仕草	しぐさ	Cử chỉ, điệu bộ, hành động nhỏ	キツネさんのちょっとした仕草は、彼ならではの個性が溢れている。\nNhững cử chỉ nhỏ của anh Kitsune luôn toát lên cá tính riêng biệt của anh ấy.	1	Hajimete N1
28	愛しい	いとしい	Đáng yêu, yêu dấu, âu yếm	愛しい我が子のためとあって、イヌさんは仕事の疲れに至るまで忘れてしまった。\nVì đứa con yêu dấu, anh Inu đã quên sạch cả những mệt mỏi trong công việc.	1	Hajimete N1
29	懐く	なつく	Quấn quýt, theo, gắn bó (thường dùng cho trẻ em, động vật)	ネコさんの人柄からして、近所の子供たちがすぐに懐くのも納得だ。\nXét từ tính cách anh Neko thì việc đám trẻ trong xóm quấn quýt ngay lấy anh ấy là điều dễ hiểu.	1	Hajimete N1
30	ねだる	ねだる	Nài nỉ, vòi vĩnh, xin xỏ (để có được thứ mình muốn)	キツネさんは、おもちゃにもまして新しいお菓子をねだる子供に苦笑いした。\nAnh Kitsune cười khổ khi đứa trẻ cứ nài nỉ đòi kẹo mới hơn cả đòi đồ chơi.	1	Hajimete N1
31	せがむ	せがむ	Nài nỉ, đòi hỏi (một cách phiền phức, dai dẳng)	遊園地に行きたいとせがまれたのを皮切りに、イヌさんは一日中子供のわがままに付き合った。\nBắt đầu từ việc bị đòi đi công viên giải trí, anh Inu đã phải chiều theo sự bướng bỉnh của lũ trẻ suốt cả ngày.	1	Hajimete N1
32	拗ねる	すねる	Hờn dỗi	イヌさんは、お菓子を買ってもらえないのを皮切りに、一日中拗ねている。\nAnh Inu bắt đầu từ việc không được mua kẹo cho mà hờn dỗi suốt cả ngày.	1	Hajimete N1
33	指図する	さしずする	Ra lệnh, chỉ tay năm ngón	キツネさんはリーダーとあって、あれこれ指図するのも無理はない。\nVì là trưởng nhóm nên việc anh Kitsune cứ hay chỉ tay năm ngón cũng là điều dễ hiểu.	1	Hajimete N1
34	指示する	しじする	Chỉ thị, hướng dẫn (mang tính công việc, trung lập)	ネコさんは部長ならではの的確な指示を部下に出した。\nAnh Neko đã đưa ra những chỉ thị chính xác cho cấp dưới, đúng phong thái của một vị trưởng phòng.	1	Hajimete N1
35	命令する	めいれいする	Mệnh lệnh (mang tính áp đặt, từ trên xuống)	キツネさんの命令は、その厳しい言葉遣いからして威圧的だ。\nNhững mệnh lệnh của anh Kitsune, ngay từ cách dùng từ đã thấy đầy tính áp đặt rồi.	1	Hajimete N1
36	横取りする	よこどりする	Giật lấy, cướp tay trên	ネコさんは、以前にもましてイヌさんの手柄を横取りするようになった。\nAnh Neko giờ còn hay cướp công của anh Inu hơn cả trước đây nữa.	1	Hajimete N1
37	反発する	はんぱつする	Phản đối, chống lại, đẩy nhau (vật lý)	キツネさんの強引なやり方は、若手のみならずベテランに至るまで反発されている。\nCách làm áp đặt của anh Kitsune bị phản đối bởi tất cả mọi người, từ nhân viên trẻ đến cả những người kỳ cựu.	1	Hajimete N1
38	反抗する	はんこうする	Phản kháng, chống đối (thái độ)	イヌさんは思春期とあって、親に反抗してばかりいる。\nVì đang ở tuổi dậy thì nên anh Inu lúc nào cũng chống đối bố mẹ.	1	Hajimete N1
39	家出する	いえでする	Bỏ nhà đi	ネコさんは、些細な喧嘩をきっかけに、家出する騒ぎを起こした。\nBắt đầu từ một trận cãi vã nhỏ mà anh Neko đã gây ra chuyện rùm beng là bỏ nhà đi.	1	Hajimete N1
40	プチ家出する	プチいえでする	Bỏ nhà đi một lúc (rồi về)	キツネさんは気分転換と言い張って、たまにプチ家出をする。\nAnh Kitsune cứ khăng khăng là để đổi gió, nhưng thi thoảng lại bỏ nhà đi bụi một chốc rồi về.	1	Hajimete N1
41	ギクシャクする	ギクシャクする	Lục đục, căng thẳng, không suôn sẻ	あの発言をきっかけに、二人の関係はギクシャクし始めた。\nKể từ sau phát ngôn đó, mối quan hệ bắt đầu lục đục.	1	Hajimete N1
42	言い返す	いいかえす	Cãi lại, nói lại	イヌさんは、普段にもまして激しくネコさんに言い返した。\nAnh Inu đã cãi lại anh Neko một cách dữ dội, hơn hẳn mọi ngày.	1	Hajimete N1
43	言い張る	いいはる	Khăng khăng, quả quyết (dù có thể sai)	キツネさんは自分が正しいと言い張るが、その根拠からして怪しい。\nAnh Kitsune cứ khăng khăng là mình đúng, nhưng ngay từ cái căn cứ đã thấy nghi ngờ rồi.	1	Hajimete N1
44	門限	もんげん	Giờ giới nghiêm	ネコさんの家は門限からして厳しく、1分でも遅れると家に入れてもらえない。\nNhà anh Neko ngay từ giờ giới nghiêm đã rất khắt khe, chỉ cần trễ 1 phút là không được vào nhà.	1	Hajimete N1
45	散々（な）	さんざん（な）	Tơi bời, tả tơi, khủng khiếp	昨日のパーティーは、イヌさんの失敗を皮切りに散々な結果となった。\nBuổi tiệc hôm qua, bắt đầu từ sai lầm của anh Inu mà kết quả trở nên tơi bời hoa lá.	1	Hajimete N1
46	省みる	かえりみる	Nhìn lại, kiểm điểm lại (hành động của bản thân)	キツネさんは、失敗の理由を自らの行いからして省みる必要がある。\nAnh Kitsune cần kiểm điểm lại nguyên nhân thất bại, bắt đầu ngay từ hành vi bản thân.	1	Hajimete N1
47	反省する	はんせいする	Phản tỉnh, kiểm điểm, hối lỗi	ネコさんは、プロならではの深い洞察で自分のミスを反省した。\nAnh Neko đã tự kiểm điểm lỗi lầm của mình với một sự thấu đáo sâu sắc đúng chất của một chuyên gia.	1	Hajimete N1
48	さも	さも	Cứ như thể là (đi với そう/よう)	イヌさんは、さも自分がやったかのように言い張っている。\nAnh Inu cứ khăng khăng nói như thể chính mình đã làm việc đó vậy.	1	Hajimete N1
49	いかにも	いかにも	Quả đúng là, thực sự là (đi với らしい/そうだ)	高級車に乗っているネコさんは、いかにも成功者ならではの余裕がある。\nAnh Neko ngồi trên chiếc xe sang trọng, quả thực có được sự thong dong mà chỉ những người thành đạt mới có.	1	Hajimete N1
50	山々（な）	やまやま（な）	Rất muốn... (nhưng không thể)	キツネさんは手伝いたい気持ちは山々だが、多忙とあって動けない。\nAnh Kitsune rất muốn giúp một tay nhưng vì quá bận rộn nên không thể nhúc nhích được.	1	Hajimete N1
51	再婚する	さいこんする	Tái hôn, kết hôn lần nữa	イヌさんは再婚するに至るまで、多くの苦労を重ねてきた。\nAnh Inu đã trải qua bao nhiêu gian truân cho đến tận khi tái hôn.	1	Hajimete N1
52	バツイチ	バツイチ	Đã ly hôn một lần (từ lóng)	ネコさんはバツイチとあって、結婚に対しては慎重だ。\nVì đã qua một lần đò nên anh Neko rất thận trọng với việc kết hôn.	1	Hajimete N1
53	健在（な）	けんざい（な）	Khỏe mạnh, vẫn còn sống tốt	キツネさんの祖父は、以前にもまして健在な様子で周囲を驚かせた。\nÔng của anh Kitsune còn khỏe mạnh hơn cả trước đây, khiến mọi người kinh ngạc.	1	Hajimete N1
54	いたわる	いたわる	An ủi, chăm sóc, đối xử tử tế (với người yếu hơn)	イヌさんは、お年寄りをいたわる仕草からして優しい性格が伝わる。\nAnh Inu chỉ cần nhìn qua cử chỉ chăm sóc người già là đã thấy toát lên tính cách hiền lành rồi.	1	Hajimete N1
55	他界する	たかいする	Qua đời, từ trần (cách nói giảm nói tránh)	ネコさんの父が他界したのをきっかけに, 親戚が集まった。\nBắt đầu từ việc cha anh Neko qua đời, họ hàng đã tập trung đông đủ.	1	Hajimete N1
56	受け継ぐ	うけつぐ	Kế thừa, tiếp nối (tài sản, công việc, ý chí)	キツネさんは、老舗ならではの伝統的な味を受け継いでいる。\nAnh Kitsune đang kế thừa hương vị truyền thống đúng chất của một cửa hiệu lâu đời.	1	Hajimete N1
57	継ぐ	つぐ	Kế thừa, nối nghiệp	イヌさんは、長男とあって家業を継ぐ決心を固めた。\nVì là con trai trưởng nên anh Inu đã hạ quyết tâm nối nghiệp gia đình.	1	Hajimete N1
58	遺産	いさん	Di sản, tài sản để lại	ネコさんは、土地から宝飾品に至るまで多額の遺産を手に入れた。\nAnh Neko đã nhận được một khoản di sản kếch xù, từ đất đai cho đến cả đồ trang sức quý giá.	1	Hajimete N1
59	遺産	いさん	Di sản (thế giới, văn hóa)	この寺院は、世界遺産ならではの厳かな雰囲気に包まれている。\nNgôi chùa này bao trùm bởi bầu không khí uy nghiêm mà chỉ di sản thế giới mới có.	1	Hajimete N1
60	遺産相続	いさんそうぞく	Thừa kế tài sản	キツネさんの親戚は、遺産相続をめぐって以前にもまして仲が悪くなった。\nHọ hàng anh Kitsune vì chuyện thừa kế tài sản mà mối quan hệ trở nên tồi tệ hơn cả trước đây.	1	Hajimete N1
61	形見	かたみ	Kỷ vật (của người đã mất)	イヌさんは、父の形見である時計をデザインからして大切にしている。\nAnh Inu rất trân trọng chiếc đồng hồ kỷ vật của cha, nâng niu từ chính cái thiết kế của nó.	1	Hajimete N1
